Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>

 43 KSP unpreconditioned resid norm 1.180286017011e-01 true resid norm 1.180286016936e-01 ||r(i)||/||b|| 1.638313744191e-01
 44 KSP unpreconditioned resid norm 1.067865895480e-01 true resid norm 1.067865895578e-01 ||r(i)||/||b|| 1.482267305191e-01
 45 KSP unpreconditioned resid norm 7.897505577664e-02 true resid norm 7.897505579634e-02 ||r(i)||/||b|| 1.096225131051e-01
 46 KSP unpreconditioned resid norm 6.047826428414e-02 true resid norm 6.047826429437e-02 ||r(i)||/||b|| 8.394776367465e-02
 47 KSP unpreconditioned resid norm 5.215734743573e-02 true resid norm 5.215734744682e-02 ||r(i)||/||b|| 7.239778999031e-02
 48 KSP unpreconditioned resid norm 5.457763239797e-02 true resid norm 5.457763241659e-02 ||r(i)||/||b|| 7.575730291679e-02
 49 KSP unpreconditioned resid norm 6.045130945177e-02 true resid norm 6.045130945498e-02 ||r(i)||/||b|| 8.391034860473e-02
 50 KSP unpreconditioned resid norm 6.487860249476e-02 true resid norm 6.487860251113e-02 ||r(i)||/||b|| 9.005571926860e-02
 51 KSP unpreconditioned resid norm 6.088783127642e-02 true resid norm 6.088783128098e-02 ||r(i)||/||b|| 8.451626928576e-02
 52 KSP unpreconditioned resid norm 6.058292985873e-02 true resid norm 6.058292987193e-02 ||r(i)||/||b|| 8.409304630260e-02
 53 KSP unpreconditioned resid norm 5.485220294004e-02 true resid norm 5.485220293733e-02 ||r(i)||/||b|| 7.613842465459e-02
 54 KSP unpreconditioned resid norm 5.457960299781e-02 true resid norm 5.457960300693e-02 ||r(i)||/||b|| 7.576003822433e-02
 55 KSP unpreconditioned resid norm 5.079952865026e-02 true resid norm 5.079952864351e-02 ||r(i)||/||b|| 7.051304919388e-02
 56 KSP unpreconditioned resid norm 4.162167287099e-02 true resid norm 4.162167286301e-02 ||r(i)||/||b|| 5.777358854482e-02
 57 KSP unpreconditioned resid norm 3.556288703558e-02 true resid norm 3.556288701812e-02 ||r(i)||/||b|| 4.936359979603e-02
 58 KSP unpreconditioned resid norm 3.499947304009e-02 true resid norm 3.499947304514e-02 ||r(i)||/||b|| 4.858154456334e-02
 59 KSP unpreconditioned resid norm 3.388007956892e-02 true resid norm 3.388007956274e-02 ||r(i)||/||b|| 4.702775361687e-02
 60 KSP unpreconditioned resid norm 3.433214112375e-02 true resid norm 3.433214112921e-02 ||r(i)||/||b|| 4.765524446819e-02
