Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.219757 (s)
  0 KSP unpreconditioned resid norm 7.204273425169e-01 true resid norm 7.204273425169e-01 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 1.808507343958e+01 true resid norm 1.808507343958e+01 ||r(i)||/||b|| 2.510325798630e+01
  2 KSP unpreconditioned resid norm 5.013214634858e+01 true resid norm 5.013214634859e+01 ||r(i)||/||b|| 6.958667916941e+01
  3 KSP unpreconditioned resid norm 2.615845564946e+01 true resid norm 2.615845564944e+01 ||r(i)||/||b|| 3.630963749662e+01
  4 KSP unpreconditioned resid norm 1.127220961155e+01 true resid norm 1.127220961156e+01 ||r(i)||/||b|| 1.564655996006e+01
  5 KSP unpreconditioned resid norm 9.185620459199e+00 true resid norm 9.185620459182e+00 ||r(i)||/||b|| 1.275023852800e+01
  6 KSP unpreconditioned resid norm 5.499069860649e+00 true resid norm 5.499069860666e+00 ||r(i)||/||b|| 7.633066564984e+00
  7 KSP unpreconditioned resid norm 3.253691662332e+00 true resid norm 3.253691662311e+00 ||r(i)||/||b|| 4.516335611227e+00
  8 KSP unpreconditioned resid norm 2.372325883412e+00 true resid norm 2.372325883441e+00 ||r(i)||/||b|| 3.292942595922e+00
  9 KSP unpreconditioned resid norm 1.458347578136e+00 true resid norm 1.458347578127e+00 ||r(i)||/||b|| 2.024281273156e+00
 10 KSP unpreconditioned resid norm 8.888717947366e-01 true resid norm 8.888717947484e-01 ||r(i)||/||b|| 1.233811853452e+00
 11 KSP unpreconditioned resid norm 6.111933096772e-01 true resid norm 6.111933096687e-01 ||r(i)||/||b|| 8.483760590394e-01
 12 KSP unpreconditioned resid norm 3.326180091732e-01 true resid norm 3.326180091761e-01 ||r(i)||/||b|| 4.616954265146e-01
 13 KSP unpreconditioned resid norm 3.977699166658e-01 true resid norm 3.977699166673e-01 ||r(i)||/||b|| 5.521305108682e-01
 14 KSP unpreconditioned resid norm 4.373105212360e-01 true resid norm 4.373105212468e-01 ||r(i)||/||b|| 6.070154413059e-01
 15 KSP unpreconditioned resid norm 3.093450218092e-01 true resid norm 3.093450217935e-01 ||r(i)||/||b|| 4.293910066111e-01
 16 KSP unpreconditioned resid norm 2.129813602653e-01 true resid norm 2.129813602779e-01 ||r(i)||/||b|| 2.956319780061e-01
 17 KSP unpreconditioned resid norm 1.528072693238e-01 true resid norm 1.528072693018e-01 ||r(i)||/||b|| 2.121064266771e-01
 18 KSP unpreconditioned resid norm 1.418325819715e-01 true resid norm 1.418325819759e-01 ||r(i)||/||b|| 1.968728469972e-01
