Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>

 43 KSP unpreconditioned resid norm 6.596096635536e-04 true resid norm 6.596096562773e-04 ||r(i)||/||b|| 1.809291651343e-03
 44 KSP unpreconditioned resid norm 6.888289896900e-04 true resid norm 6.888289906576e-04 ||r(i)||/||b|| 1.889439504318e-03
 45 KSP unpreconditioned resid norm 7.137767555597e-04 true resid norm 7.137767495263e-04 ||r(i)||/||b|| 1.957870539872e-03
 46 KSP unpreconditioned resid norm 7.338537750319e-04 true resid norm 7.338537613502e-04 ||r(i)||/||b|| 2.012941246511e-03
 47 KSP unpreconditioned resid norm 7.498530539319e-04 true resid norm 7.498530534624e-04 ||r(i)||/||b|| 2.056826877006e-03
 48 KSP unpreconditioned resid norm 7.627375251654e-04 true resid norm 7.627375217266e-04 ||r(i)||/||b|| 2.092168628965e-03
 49 KSP unpreconditioned resid norm 7.732982905617e-04 true resid norm 7.732982766227e-04 ||r(i)||/||b|| 2.121136497285e-03
 50 KSP unpreconditioned resid norm 7.821164474895e-04 true resid norm 7.821164374006e-04 ||r(i)||/||b|| 2.145324476530e-03
 51 KSP unpreconditioned resid norm 7.896050073126e-04 true resid norm 7.896050014655e-04 ||r(i)||/||b|| 2.165865407540e-03
 52 KSP unpreconditioned resid norm 7.960574386133e-04 true resid norm 7.960574257664e-04 ||r(i)||/||b|| 2.183564234880e-03
 53 KSP unpreconditioned resid norm 8.016851785156e-04 true resid norm 8.016851737752e-04 ||r(i)||/||b|| 2.199000997201e-03
 54 KSP unpreconditioned resid norm 8.066434923310e-04 true resid norm 8.066434860633e-04 ||r(i)||/||b|| 2.212601515238e-03
 55 KSP unpreconditioned resid norm 8.110486802815e-04 true resid norm 8.110486689165e-04 ||r(i)||/||b|| 2.224684814024e-03
 56 KSP unpreconditioned resid norm 8.149895036882e-04 true resid norm 8.149894946427e-04 ||r(i)||/||b|| 2.235494393626e-03
 57 KSP unpreconditioned resid norm 8.185348441151e-04 true resid norm 8.185348346290e-04 ||r(i)||/||b|| 2.245219166417e-03
 58 KSP unpreconditioned resid norm 8.217389366915e-04 true resid norm 8.217389293154e-04 ||r(i)||/||b|| 2.254007912475e-03
 59 KSP unpreconditioned resid norm 8.246450047591e-04 true resid norm 8.246449926968e-04 ||r(i)||/||b|| 2.261979166631e-03
 60 KSP unpreconditioned resid norm 8.272878344764e-04 true resid norm 8.272878223084e-04 ||r(i)||/||b|| 2.269228377595e-03
 61 KSP unpreconditioned resid norm 8.296956265414e-04 true resid norm 8.296956155409e-04 ||r(i)||/||b|| 2.275832890055e-03
 62 KSP unpreconditioned resid norm 8.297064789273e-04 true resid norm 8.297064655139e-04 ||r(i)||/||b|| 2.275862651241e-03
 63 KSP unpreconditioned resid norm 8.301514128471e-04 true resid norm 8.301514018409e-04 ||r(i)||/||b|| 2.277083099690e-03
 64 KSP unpreconditioned resid norm 8.301315888168e-04 true resid norm 8.301315723147e-04 ||r(i)||/||b|| 2.277028707830e-03
 65 KSP unpreconditioned resid norm 9.065257976355e-04 true resid norm 9.065257879665e-04 ||r(i)||/||b|| 2.486575998829e-03
 66 KSP unpreconditioned resid norm 6.305031949077e-04 true resid norm 6.305031859173e-04 ||r(i)||/||b|| 1.729453381358e-03
 67 KSP unpreconditioned resid norm 5.665050177703e-04 true resid norm 5.665049992425e-04 ||r(i)||/||b|| 1.553908066413e-03
 68 KSP unpreconditioned resid norm 5.694143961093e-04 true resid norm 5.694143811793e-04 ||r(i)||/||b|| 1.561888423279e-03
 69 KSP unpreconditioned resid norm 5.693950692442e-04 true resid norm 5.693950538054e-04 ||r(i)||/||b|| 1.561835408809e-03
 70 KSP unpreconditioned resid norm 5.688664812349e-04 true resid norm 5.688664682069e-04 ||r(i)||/||b|| 1.560385512645e-03
 71 KSP unpreconditioned resid norm 5.718463484011e-04 true resid norm 5.718463244655e-04 ||r(i)||/||b|| 1.568559178690e-03
 72 KSP unpreconditioned resid norm 5.748635899968e-04 true resid norm 5.748635732444e-04 ||r(i)||/||b|| 1.576835411420e-03
 73 KSP unpreconditioned resid norm 5.774692023052e-04 true resid norm 5.774691824558e-04 ||r(i)||/||b|| 1.583982527821e-03
 74 KSP unpreconditioned resid norm 5.799513303150e-04 true resid norm 5.799513083607e-04 ||r(i)||/||b|| 1.590790932814e-03
