Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.92248 (s)
  0 KSP unpreconditioned resid norm 3.645678991486e-01 true resid norm 3.645678991486e-01 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 2.357832091696e+01 true resid norm 2.357832091697e+01 ||r(i)||/||b|| 6.467470386731e+01
  2 KSP unpreconditioned resid norm 1.120914038152e+02 true resid norm 1.120914038152e+02 ||r(i)||/||b|| 3.074637237042e+02
  3 KSP unpreconditioned resid norm 5.336998322084e+01 true resid norm 5.336998322084e+01 ||r(i)||/||b|| 1.463924370343e+02
  4 KSP unpreconditioned resid norm 2.893625359579e+01 true resid norm 2.893625359580e+01 ||r(i)||/||b|| 7.937136995159e+01
  5 KSP unpreconditioned resid norm 1.407870297483e+01 true resid norm 1.407870297483e+01 ||r(i)||/||b|| 3.861750584106e+01
  6 KSP unpreconditioned resid norm 7.550213624301e+00 true resid norm 7.550213624293e+00 ||r(i)||/||b|| 2.071003410318e+01
  7 KSP unpreconditioned resid norm 6.475864567932e+00 true resid norm 6.475864567962e+00 ||r(i)||/||b|| 1.776312336628e+01
  8 KSP unpreconditioned resid norm 4.128337930564e+00 true resid norm 4.128337930565e+00 ||r(i)||/||b|| 1.132392056516e+01
  9 KSP unpreconditioned resid norm 1.550310278083e+00 true resid norm 1.550310278110e+00 ||r(i)||/||b|| 4.252459642580e+00
 10 KSP unpreconditioned resid norm 8.067972292458e-01 true resid norm 8.067972292353e-01 ||r(i)||/||b|| 2.213023228648e+00
 11 KSP unpreconditioned resid norm 6.721365222582e-01 true resid norm 6.721365222756e-01 ||r(i)||/||b|| 1.843652509848e+00
 12 KSP unpreconditioned resid norm 5.151868642933e-01 true resid norm 5.151868642671e-01 ||r(i)||/||b|| 1.413143794257e+00
 13 KSP unpreconditioned resid norm 3.358332703127e-01 true resid norm 3.358332703373e-01 ||r(i)||/||b|| 9.211816814413e-01
 14 KSP unpreconditioned resid norm 1.778899337724e-01 true resid norm 1.778899337482e-01 ||r(i)||/||b|| 4.879473320708e-01
 15 KSP unpreconditioned resid norm 1.122878516947e-01 true resid norm 1.122878517105e-01 ||r(i)||/||b|| 3.080025750286e-01
 16 KSP unpreconditioned resid norm 6.838431740045e-02 true resid norm 6.838431738471e-02 ||r(i)||/||b|| 1.875763542111e-01
 17 KSP unpreconditioned resid norm 4.673703272963e-02 true resid norm 4.673703273138e-02 ||r(i)||/||b|| 1.281984311853e-01
 18 KSP unpreconditioned resid norm 3.028948879881e-02 true resid norm 3.028948880753e-02 ||r(i)||/||b|| 8.308325795623e-02
