Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0448487 (s)
96 MLA ||r(i)||/||b|| 2.2196397505522207e-02
97 MLA ||r(i)||/||b|| 2.1643573953160584e-02
98 MLA ||r(i)||/||b|| 2.1111847720337931e-02
99 MLA ||r(i)||/||b|| 2.0600347749109935e-02
100 MLA ||r(i)||/||b|| 2.0108236044416642e-02
101 MLA ||r(i)||/||b|| 1.9634706000144966e-02
102 MLA ||r(i)||/||b|| 1.9178981119334228e-02
103 MLA ||r(i)||/||b|| 1.8740314075320740e-02
104 MLA ||r(i)||/||b|| 1.8317985747911325e-02
105 MLA ||r(i)||/||b|| 1.7911304280061054e-02
106 MLA ||r(i)||/||b|| 1.7519604335735302e-02
107 MLA ||r(i)||/||b|| 1.7142246535597851e-02
108 MLA ||r(i)||/||b|| 1.6778616458850544e-02
109 MLA ||r(i)||/||b|| 1.6428124129001170e-02
110 MLA ||r(i)||/||b|| 1.6090203356709163e-02
111 MLA ||r(i)||/||b|| 1.5764310949584987e-02
112 MLA ||r(i)||/||b|| 1.5449926012058145e-02
113 MLA ||r(i)||/||b|| 1.5146549131218634e-02
114 MLA ||r(i)||/||b|| 1.4853701932681547e-02
115 MLA ||r(i)||/||b|| 1.4570926276312911e-02
116 MLA ||r(i)||/||b|| 1.4297783377039158e-02
117 MLA ||r(i)||/||b|| 1.4033853348902395e-02
118 MLA ||r(i)||/||b|| 1.3778734416944664e-02
119 MLA ||r(i)||/||b|| 1.3532042336024425e-02
120 MLA ||r(i)||/||b|| 1.3293409657742840e-02
121 MLA ||r(i)||/||b|| 1.3062485143758622e-02
122 MLA ||r(i)||/||b|| 1.2838933193137543e-02
123 MLA ||r(i)||/||b|| 1.2622433103948697e-02
124 MLA ||r(i)||/||b|| 1.2412678522399277e-02
125 MLA ||r(i)||/||b|| 1.2209377091582792e-02
126 MLA ||r(i)||/||b|| 1.2012249673528605e-02
127 MLA ||r(i)||/||b|| 1.1821029781161908e-02
128 MLA ||r(i)||/||b|| 1.1635463248436230e-02
129 MLA ||r(i)||/||b|| 1.1455307643558970e-02
130 MLA ||r(i)||/||b|| 1.1280331822478038e-02
131 MLA ||r(i)||/||b|| 1.1110315378340792e-02
132 MLA ||r(i)||/||b|| 1.0945048164321635e-02
133 MLA ||r(i)||/||b|| 1.0784329950804902e-02
134 MLA ||r(i)||/||b|| 1.0627969969794194e-02
135 MLA ||r(i)||/||b|| 1.0475786527654799e-02
136 MLA ||r(i)||/||b|| 1.0327606635322900e-02
137 MLA ||r(i)||/||b|| 1.0183265392786195e-02
138 MLA ||r(i)||/||b|| 1.0042605869373450e-02
139 MLA ||r(i)||/||b|| 9.9054786787691161e-03
140 MLA ||r(i)||/||b|| 9.7717415913768143e-03
141 MLA ||r(i)||/||b|| 9.6412592422294979e-03
142 MLA ||r(i)||/||b|| 9.5139028246286773e-03
143 MLA ||r(i)||/||b|| 9.3895496552534111e-03
144 MLA ||r(i)||/||b|| 9.2680830474246873e-03
145 MLA ||r(i)||/||b|| 9.1493920709123031e-03
146 MLA ||r(i)||/||b|| 9.0333709168311811e-03
147 MLA ||r(i)||/||b|| 8.9199190242628332e-03
148 MLA ||r(i)||/||b|| 8.8089407346592773e-03
149 MLA ||r(i)||/||b|| 8.7003448643503210e-03
150 MLA ||r(i)||/||b|| 8.5940447957106435e-03
151 MLA ||r(i)||/||b|| 8.4899580138065017e-03
152 MLA ||r(i)||/||b|| 8.3880058677906159e-03
153 MLA ||r(i)||/||b|| 8.2881136154293947e-03
154 MLA ||r(i)||/||b|| 8.1902100935400176e-03
155 MLA ||r(i)||/||b|| 8.0942274716541574e-03
