Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.922832 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.2939612696250606e+00
2 MLA ||r(i)||/||b|| 1.2074383739018941e+00
3 MLA ||r(i)||/||b|| 1.1791626884961084e+00
4 MLA ||r(i)||/||b|| 1.1416072615107027e+00
5 MLA ||r(i)||/||b|| 1.0990787741711234e+00
6 MLA ||r(i)||/||b|| 1.0615973605233824e+00
7 MLA ||r(i)||/||b|| 1.0274782764043155e+00
8 MLA ||r(i)||/||b|| 9.8025208930341801e-01
9 MLA ||r(i)||/||b|| 9.6721885754595538e-01
10 MLA ||r(i)||/||b|| 9.3913061158074806e-01
11 MLA ||r(i)||/||b|| 9.4173071636899497e-01
12 MLA ||r(i)||/||b|| 9.3892794352667452e-01
13 MLA ||r(i)||/||b|| 1.0210721709884951e+00
14 MLA ||r(i)||/||b|| 3.5361880811611548e+00
15 MLA ||r(i)||/||b|| 6.6846801338905175e+00
16 MLA ||r(i)||/||b|| 6.6441331565020025e+00
17 MLA ||r(i)||/||b|| 6.6434451189196002e+00
18 MLA ||r(i)||/||b|| 6.3322369959707556e+00
19 MLA ||r(i)||/||b|| 5.6236431044857458e+00
20 MLA ||r(i)||/||b|| 4.7069158402945011e+00
21 MLA ||r(i)||/||b|| 3.9770051418987054e+00
22 MLA ||r(i)||/||b|| 3.7218647282671937e+00
23 MLA ||r(i)||/||b|| 3.8093406320990710e+00
24 MLA ||r(i)||/||b|| 3.9166146959454871e+00
25 MLA ||r(i)||/||b|| 3.8702071937961859e+00
26 MLA ||r(i)||/||b|| 3.6603723599084517e+00
27 MLA ||r(i)||/||b|| 3.3515421243403440e+00
28 MLA ||r(i)||/||b|| 3.0171023787942319e+00
29 MLA ||r(i)||/||b|| 2.7073410232868844e+00
30 MLA ||r(i)||/||b|| 2.4428776724110577e+00
31 MLA ||r(i)||/||b|| 2.2241352348435948e+00
32 MLA ||r(i)||/||b|| 2.0448598026161084e+00
33 MLA ||r(i)||/||b|| 1.9002759438051069e+00
34 MLA ||r(i)||/||b|| 1.7879981687326065e+00
35 MLA ||r(i)||/||b|| 1.7053814506920539e+00
36 MLA ||r(i)||/||b|| 1.6474327668284916e+00
37 MLA ||r(i)||/||b|| 1.6069793639811805e+00
38 MLA ||r(i)||/||b|| 1.5763414307637997e+00
39 MLA ||r(i)||/||b|| 1.5489792696928013e+00
40 MLA ||r(i)||/||b|| 1.5202671512685189e+00
41 MLA ||r(i)||/||b|| 1.4874526493735361e+00
42 MLA ||r(i)||/||b|| 1.4492271769407301e+00
