Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.220137 (s)
96 MLA ||r(i)||/||b|| 3.0729935602357678e-02
97 MLA ||r(i)||/||b|| 2.9948021057097558e-02
98 MLA ||r(i)||/||b|| 2.9194658829396918e-02
99 MLA ||r(i)||/||b|| 2.8468413535581646e-02
100 MLA ||r(i)||/||b|| 2.7767955625749012e-02
101 MLA ||r(i)||/||b|| 2.7092054886754820e-02
102 MLA ||r(i)||/||b|| 2.6439575028765885e-02
103 MLA ||r(i)||/||b|| 2.5809465710620198e-02
104 MLA ||r(i)||/||b|| 2.5200754407822445e-02
105 MLA ||r(i)||/||b|| 2.4612537892222060e-02
106 MLA ||r(i)||/||b|| 2.4043970686770527e-02
107 MLA ||r(i)||/||b|| 2.3494257923926766e-02
108 MLA ||r(i)||/||b|| 2.2962645941859035e-02
109 MLA ||r(i)||/||b|| 2.2448414568882118e-02
110 MLA ||r(i)||/||b|| 2.1950871488423163e-02
111 MLA ||r(i)||/||b|| 2.1469347225445089e-02
112 MLA ||r(i)||/||b|| 2.1003191987372109e-02
113 MLA ||r(i)||/||b|| 2.0551774859222570e-02
114 MLA ||r(i)||/||b|| 2.0114482855527027e-02
115 MLA ||r(i)||/||b|| 1.9690721729786947e-02
116 MLA ||r(i)||/||b|| 1.9279917195772166e-02
117 MLA ||r(i)||/||b|| 1.8881516724861550e-02
118 MLA ||r(i)||/||b|| 1.8494990734527095e-02
119 MLA ||r(i)||/||b|| 1.8119833647746695e-02
120 MLA ||r(i)||/||b|| 1.7755564998983911e-02
121 MLA ||r(i)||/||b|| 1.7401729979187416e-02
122 MLA ||r(i)||/||b|| 1.7057898828123006e-02
123 MLA ||r(i)||/||b|| 1.6723666906443040e-02
124 MLA ||r(i)||/||b|| 1.6398653220062943e-02
125 MLA ||r(i)||/||b|| 1.6082499151104521e-02
126 MLA ||r(i)||/||b|| 1.5774867063329472e-02
127 MLA ||r(i)||/||b|| 1.5475438601358967e-02
128 MLA ||r(i)||/||b|| 1.5183913411307599e-02
129 MLA ||r(i)||/||b|| 1.4900007138816030e-02
130 MLA ||r(i)||/||b|| 1.4623450405246204e-02
131 MLA ||r(i)||/||b|| 1.4353987138442745e-02
132 MLA ||r(i)||/||b|| 1.4091373846992522e-02
133 MLA ||r(i)||/||b|| 1.3835378331082313e-02
134 MLA ||r(i)||/||b|| 1.3585779214400961e-02
135 MLA ||r(i)||/||b|| 1.3342364776418709e-02
136 MLA ||r(i)||/||b|| 1.3104932749416445e-02
137 MLA ||r(i)||/||b|| 1.2873289849163676e-02
138 MLA ||r(i)||/||b|| 1.2647250991840548e-02
139 MLA ||r(i)||/||b|| 1.2426638757081191e-02
