Config file: ../input/config/mla_v_cycle-refine0.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 1506, matrix Column = 1506
matrix nz_allocated = 27747, matrix nz_used = 27747, matrix nz_unneeded = 0
vector Row = 1506
initial     || b ||_2 = 2.6501139470351753e+00
>>>>local_vec_size = 1506
>>>>~~~~ local_mat_m = 1506, local_mat_n = 1506
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 0 is 62, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0113277 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.1722780623472254e+01
2 MLA ||r(i)||/||b|| 5.0369443047783493e+00
3 MLA ||r(i)||/||b|| 4.0029840748689320e+00
4 MLA ||r(i)||/||b|| 3.6265225285348435e+00
5 MLA ||r(i)||/||b|| 2.8330882075621826e+00
6 MLA ||r(i)||/||b|| 2.0222624160234375e+00
7 MLA ||r(i)||/||b|| 1.3749270975670356e+00
8 MLA ||r(i)||/||b|| 9.3584960537153805e-01
9 MLA ||r(i)||/||b|| 6.7586551926951532e-01
10 MLA ||r(i)||/||b|| 5.2592470523903712e-01
11 MLA ||r(i)||/||b|| 4.3076227188959576e-01
12 MLA ||r(i)||/||b|| 3.6205413348501597e-01
13 MLA ||r(i)||/||b|| 3.0774991882623498e-01
14 MLA ||r(i)||/||b|| 2.6317713474416449e-01
15 MLA ||r(i)||/||b|| 2.2632360061092069e-01
16 MLA ||r(i)||/||b|| 1.9594372477249133e-01
17 MLA ||r(i)||/||b|| 1.7103100115044859e-01
18 MLA ||r(i)||/||b|| 1.5070554354595045e-01
19 MLA ||r(i)||/||b|| 1.3418982547002853e-01
20 MLA ||r(i)||/||b|| 1.2079765693959141e-01
21 MLA ||r(i)||/||b|| 1.0992824471410237e-01
22 MLA ||r(i)||/||b|| 1.0106666367893390e-01
23 MLA ||r(i)||/||b|| 9.3785607501853469e-02
24 MLA ||r(i)||/||b|| 8.7742195224703959e-02
25 MLA ||r(i)||/||b|| 8.2668494922571223e-02
26 MLA ||r(i)||/||b|| 7.8358432511823090e-02
27 MLA ||r(i)||/||b|| 7.4654376470894679e-02
28 MLA ||r(i)||/||b|| 7.1435444975748927e-02
29 MLA ||r(i)||/||b|| 6.8608239684173858e-02
30 MLA ||r(i)||/||b|| 6.6099907241536110e-02
31 MLA ||r(i)||/||b|| 6.3853098161019778e-02
32 MLA ||r(i)||/||b|| 6.1822330902577848e-02
33 MLA ||r(i)||/||b|| 5.9971338104994151e-02
34 MLA ||r(i)||/||b|| 5.8271082965409553e-02
35 MLA ||r(i)||/||b|| 5.6698238014449280e-02
36 MLA ||r(i)||/||b|| 5.5233996086163466e-02
37 MLA ||r(i)||/||b|| 5.3863132187628969e-02
38 MLA ||r(i)||/||b|| 5.2573261551893097e-02
39 MLA ||r(i)||/||b|| 5.1354253801022293e-02
40 MLA ||r(i)||/||b|| 5.0197771331127433e-02
41 MLA ||r(i)||/||b|| 4.9096906655770108e-02
42 MLA ||r(i)||/||b|| 4.8045897472733294e-02
