Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0516977 (s)
96 MLA ||r(i)||/||b|| 7.9652482080756083e-03
97 MLA ||r(i)||/||b|| 7.8743476310855140e-03
98 MLA ||r(i)||/||b|| 7.7850556205104953e-03
99 MLA ||r(i)||/||b|| 7.6972929150153982e-03
100 MLA ||r(i)||/||b|| 7.6109873963858968e-03
101 MLA ||r(i)||/||b|| 7.5260733443667941e-03
102 MLA ||r(i)||/||b|| 7.4424910411613875e-03
103 MLA ||r(i)||/||b|| 7.3601861924677565e-03
104 MLA ||r(i)||/||b|| 7.2791093566253601e-03
105 MLA ||r(i)||/||b|| 7.1992155974611562e-03
106 MLA ||r(i)||/||b|| 7.1204641019741270e-03
107 MLA ||r(i)||/||b|| 7.0428176746384370e-03
108 MLA ||r(i)||/||b|| 6.9662426643643232e-03
109 MLA ||r(i)||/||b|| 6.8907084368334337e-03
110 MLA ||r(i)||/||b|| 6.8161870307166606e-03
111 MLA ||r(i)||/||b|| 6.7426532081172009e-03
112 MLA ||r(i)||/||b|| 6.6700839298313008e-03
113 MLA ||r(i)||/||b|| 6.5984582293892036e-03
114 MLA ||r(i)||/||b|| 6.5277571556869793e-03
115 MLA ||r(i)||/||b|| 6.4579632548101432e-03
116 MLA ||r(i)||/||b|| 6.3890606882129565e-03
117 MLA ||r(i)||/||b|| 6.3210350122307061e-03
118 MLA ||r(i)||/||b|| 6.2538729960629350e-03
119 MLA ||r(i)||/||b|| 6.1875624651551052e-03
120 MLA ||r(i)||/||b|| 6.1220923260509319e-03
121 MLA ||r(i)||/||b|| 6.0574522993161505e-03
122 MLA ||r(i)||/||b|| 5.9936328493733699e-03
123 MLA ||r(i)||/||b|| 5.9306250796324093e-03
124 MLA ||r(i)||/||b|| 5.8684208112894177e-03
125 MLA ||r(i)||/||b|| 5.8070123085185148e-03
126 MLA ||r(i)||/||b|| 5.7463922263584323e-03
127 MLA ||r(i)||/||b|| 5.6865537556513267e-03
128 MLA ||r(i)||/||b|| 5.6274903093877894e-03
129 MLA ||r(i)||/||b|| 5.5691955163919993e-03
130 MLA ||r(i)||/||b|| 5.5116632932356050e-03
131 MLA ||r(i)||/||b|| 5.4548877311715177e-03
132 MLA ||r(i)||/||b|| 5.3988629533643154e-03
133 MLA ||r(i)||/||b|| 5.3435833533573111e-03
134 MLA ||r(i)||/||b|| 5.2890433497045581e-03
135 MLA ||r(i)||/||b|| 5.2352373370719027e-03
136 MLA ||r(i)||/||b|| 5.1821597533369722e-03
137 MLA ||r(i)||/||b|| 5.1298049393225494e-03
138 MLA ||r(i)||/||b|| 5.0781672943369079e-03
139 MLA ||r(i)||/||b|| 5.0272412319836727e-03
140 MLA ||r(i)||/||b|| 4.9770209874837731e-03
141 MLA ||r(i)||/||b|| 4.9275007284143085e-03
142 MLA ||r(i)||/||b|| 4.8786745440152803e-03
143 MLA ||r(i)||/||b|| 4.8305364244907688e-03
144 MLA ||r(i)||/||b|| 4.7830803298654174e-03
145 MLA ||r(i)||/||b|| 4.7362999854261142e-03
146 MLA ||r(i)||/||b|| 4.6901890331160472e-03
147 MLA ||r(i)||/||b|| 4.6447410178117052e-03
148 MLA ||r(i)||/||b|| 4.5999493147491416e-03
149 MLA ||r(i)||/||b|| 4.5558072295390772e-03
150 MLA ||r(i)||/||b|| 4.5123079483445306e-03
151 MLA ||r(i)||/||b|| 4.4694444106548881e-03
152 MLA ||r(i)||/||b|| 4.4272095519565565e-03
153 MLA ||r(i)||/||b|| 4.3855961374752945e-03
154 MLA ||r(i)||/||b|| 4.3445967981500262e-03
155 MLA ||r(i)||/||b|| 4.3042041329388516e-03
156 MLA ||r(i)||/||b|| 4.2644105747640269e-03
157 MLA ||r(i)||/||b|| 4.2252084455303091e-03
158 MLA ||r(i)||/||b|| 4.1865899671665657e-03
159 MLA ||r(i)||/||b|| 4.1485472930352877e-03
160 MLA ||r(i)||/||b|| 4.1110724302012760e-03
161 MLA ||r(i)||/||b|| 4.0741574383692195e-03
162 MLA ||r(i)||/||b|| 4.0377941728298502e-03
163 MLA ||r(i)||/||b|| 4.0019745537190187e-03
164 MLA ||r(i)||/||b|| 3.9666902971181982e-03
165 MLA ||r(i)||/||b|| 3.9319331848276604e-03
166 MLA ||r(i)||/||b|| 3.8976957582260905e-03
167 MLA ||r(i)||/||b|| 3.8639672339202224e-03
168 MLA ||r(i)||/||b|| 3.8307414260192749e-03
169 MLA ||r(i)||/||b|| 3.7980096705600200e-03
170 MLA ||r(i)||/||b|| 3.7657635589718628e-03
171 MLA ||r(i)||/||b|| 3.7339948106195706e-03
172 MLA ||r(i)||/||b|| 3.7026944990882047e-03
173 MLA ||r(i)||/||b|| 3.6718547078020266e-03
174 MLA ||r(i)||/||b|| 3.6414671603459802e-03
175 MLA ||r(i)||/||b|| 3.6115235830383578e-03
176 MLA ||r(i)||/||b|| 3.5820157159114777e-03
177 MLA ||r(i)||/||b|| 3.5529355494256835e-03
178 MLA ||r(i)||/||b|| 3.5242745525449911e-03
179 MLA ||r(i)||/||b|| 3.4960249299035091e-03
180 MLA ||r(i)||/||b|| 3.4681788129881240e-03
181 MLA ||r(i)||/||b|| 3.4407282338445562e-03
182 MLA ||r(i)||/||b|| 3.4136653993375025e-03
183 MLA ||r(i)||/||b|| 3.3869825521153463e-03
184 MLA ||r(i)||/||b|| 3.3606720556202895e-03
185 MLA ||r(i)||/||b|| 3.3347263895928910e-03
186 MLA ||r(i)||/||b|| 3.3091380800431428e-03
187 MLA ||r(i)||/||b|| 3.2838998302408607e-03
188 MLA ||r(i)||/||b|| 3.2590044358856659e-03
189 MLA ||r(i)||/||b|| 3.2344448276312426e-03
190 MLA ||r(i)||/||b|| 3.2102139550575460e-03
191 MLA ||r(i)||/||b|| 3.1863049838115488e-03
192 MLA ||r(i)||/||b|| 3.1627112050205677e-03
193 MLA ||r(i)||/||b|| 3.1394260125766388e-03
194 MLA ||r(i)||/||b|| 3.1164428602450875e-03
