Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.785117 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 8.9097195374452518e+00
2 MLA ||r(i)||/||b|| 6.3628816015231591e+00
3 MLA ||r(i)||/||b|| 5.9522153722791051e+00
4 MLA ||r(i)||/||b|| 5.8016492150101566e+00
5 MLA ||r(i)||/||b|| 5.5479548830428032e+00
6 MLA ||r(i)||/||b|| 5.1517577981946054e+00
7 MLA ||r(i)||/||b|| 4.6574624320961915e+00
8 MLA ||r(i)||/||b|| 4.1642148522534264e+00
9 MLA ||r(i)||/||b|| 3.7677111162357577e+00
10 MLA ||r(i)||/||b|| 3.5004461569347929e+00
11 MLA ||r(i)||/||b|| 3.3270618668496064e+00
12 MLA ||r(i)||/||b|| 3.1881222558932309e+00
13 MLA ||r(i)||/||b|| 3.0404819924272610e+00
14 MLA ||r(i)||/||b|| 2.8679528000074268e+00
15 MLA ||r(i)||/||b|| 2.6736393899663371e+00
16 MLA ||r(i)||/||b|| 2.4694115545082003e+00
17 MLA ||r(i)||/||b|| 2.2687007106589903e+00
18 MLA ||r(i)||/||b|| 2.0829859726088653e+00
19 MLA ||r(i)||/||b|| 1.9206346633044147e+00
20 MLA ||r(i)||/||b|| 1.7868162153766534e+00
21 MLA ||r(i)||/||b|| 1.6837237011267219e+00
22 MLA ||r(i)||/||b|| 1.6108395701986600e+00
23 MLA ||r(i)||/||b|| 1.5653014918267500e+00
24 MLA ||r(i)||/||b|| 1.5424899839893409e+00
25 MLA ||r(i)||/||b|| 1.5368216897795162e+00
26 MLA ||r(i)||/||b|| 1.5425729682000349e+00
27 MLA ||r(i)||/||b|| 1.5545351285463915e+00
28 MLA ||r(i)||/||b|| 1.5684032834608688e+00
29 MLA ||r(i)||/||b|| 1.5809145232113970e+00
30 MLA ||r(i)||/||b|| 1.5898089242491362e+00
31 MLA ||r(i)||/||b|| 1.5936920234324663e+00
32 MLA ||r(i)||/||b|| 1.5918588285211319e+00
33 MLA ||r(i)||/||b|| 1.5841176991450396e+00
34 MLA ||r(i)||/||b|| 1.5706350771317512e+00
35 MLA ||r(i)||/||b|| 1.5518098913486671e+00
36 MLA ||r(i)||/||b|| 1.5281785957371159e+00
37 MLA ||r(i)||/||b|| 1.5003472025452060e+00
38 MLA ||r(i)||/||b|| 1.4689446673364841e+00
39 MLA ||r(i)||/||b|| 1.4345917844707150e+00
40 MLA ||r(i)||/||b|| 1.3978807098929835e+00
41 MLA ||r(i)||/||b|| 1.3593616382256226e+00
42 MLA ||r(i)||/||b|| 1.3195345139442949e+00
