Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.190178 (s)
96 MLA ||r(i)||/||b|| 5.9637482334508163e-02
97 MLA ||r(i)||/||b|| 5.8851686412335687e-02
98 MLA ||r(i)||/||b|| 5.8048246858010334e-02
99 MLA ||r(i)||/||b|| 5.7217344904413631e-02
100 MLA ||r(i)||/||b|| 5.6353641289929077e-02
101 MLA ||r(i)||/||b|| 5.5455345607957451e-02
102 MLA ||r(i)||/||b|| 5.4523395143052281e-02
103 MLA ||r(i)||/||b|| 5.3560752938057087e-02
104 MLA ||r(i)||/||b|| 5.2571821351778826e-02
105 MLA ||r(i)||/||b|| 5.1561962961518576e-02
106 MLA ||r(i)||/||b|| 5.0537115667968958e-02
107 MLA ||r(i)||/||b|| 4.9503488815559347e-02
108 MLA ||r(i)||/||b|| 4.8467324650188638e-02
109 MLA ||r(i)||/||b|| 4.7434715049073588e-02
110 MLA ||r(i)||/||b|| 4.6411459789153814e-02
111 MLA ||r(i)||/||b|| 4.5402958577562158e-02
112 MLA ||r(i)||/||b|| 4.4414127659757489e-02
113 MLA ||r(i)||/||b|| 4.3449337100180577e-02
114 MLA ||r(i)||/||b|| 4.2512363563064176e-02
115 MLA ||r(i)||/||b|| 4.1606357023538557e-02
116 MLA ||r(i)||/||b|| 4.0733821134422532e-02
117 MLA ||r(i)||/||b|| 3.9896605952350700e-02
118 MLA ||r(i)||/||b|| 3.9095914419307376e-02
119 MLA ||r(i)||/||b|| 3.8332323306521955e-02
120 MLA ||r(i)||/||b|| 3.7605817931431661e-02
121 MLA ||r(i)||/||b|| 3.6915840127272934e-02
122 MLA ||r(i)||/||b|| 3.6261348984372402e-02
123 MLA ||r(i)||/||b|| 3.5640890909438491e-02
124 MLA ||r(i)||/||b|| 3.5052677272519255e-02
125 MLA ||r(i)||/||b|| 3.4494665123118592e-02
126 MLA ||r(i)||/||b|| 3.3964638366614779e-02
127 MLA ||r(i)||/||b|| 3.3460285621975144e-02
128 MLA ||r(i)||/||b|| 3.2979271655339454e-02
129 MLA ||r(i)||/||b|| 3.2519300158046646e-02
130 MLA ||r(i)||/||b|| 3.2078166143837197e-02
131 MLA ||r(i)||/||b|| 3.1653797074421196e-02
132 MLA ||r(i)||/||b|| 3.1244282780828414e-02
133 MLA ||r(i)||/||b|| 3.0847894387836014e-02
134 MLA ||r(i)||/||b|| 3.0463093254809750e-02
135 MLA ||r(i)||/||b|| 3.0088531754498462e-02
136 MLA ||r(i)||/||b|| 2.9723046671723395e-02
137 MLA ||r(i)||/||b|| 2.9365647994702190e-02
138 MLA ||r(i)||/||b|| 2.9015503309506616e-02
139 MLA ||r(i)||/||b|| 2.8671920350947473e-02
140 MLA ||r(i)||/||b|| 2.8334328327916089e-02
141 MLA ||r(i)||/||b|| 2.8002259777707275e-02
142 MLA ||r(i)||/||b|| 2.7675332463992924e-02
143 MLA ||r(i)||/||b|| 2.7353233710511623e-02
144 MLA ||r(i)||/||b|| 2.7035705747530992e-02
145 MLA ||r(i)||/||b|| 2.6722533407378242e-02
146 MLA ||r(i)||/||b|| 2.6413533987578758e-02
147 MLA ||r(i)||/||b|| 2.6108548904372891e-02
148 MLA ||r(i)||/||b|| 2.5807437182271433e-02
149 MLA ||r(i)||/||b|| 2.5510070918822132e-02
150 MLA ||r(i)||/||b|| 2.5216331344459299e-02
151 MLA ||r(i)||/||b|| 2.4926107027747165e-02
152 MLA ||r(i)||/||b|| 2.4639292531758717e-02
153 MLA ||r(i)||/||b|| 2.4355787179535241e-02
154 MLA ||r(i)||/||b|| 2.4075495450804937e-02
155 MLA ||r(i)||/||b|| 2.3798326900484876e-02
156 MLA ||r(i)||/||b|| 2.3524196215346217e-02
157 MLA ||r(i)||/||b|| 2.3253023904150530e-02
158 MLA ||r(i)||/||b|| 2.2984736321357419e-02
159 MLA ||r(i)||/||b|| 2.2719266303113765e-02
160 MLA ||r(i)||/||b|| 2.2456553167155547e-02
161 MLA ||r(i)||/||b|| 2.2196542932977608e-02
162 MLA ||r(i)||/||b|| 2.1939188022438709e-02
163 MLA ||r(i)||/||b|| 2.1684447727296545e-02
164 MLA ||r(i)||/||b|| 2.1432287220596806e-02
165 MLA ||r(i)||/||b|| 2.1182677802497787e-02
166 MLA ||r(i)||/||b|| 2.0935596207871946e-02
167 MLA ||r(i)||/||b|| 2.0691024352302700e-02
168 MLA ||r(i)||/||b|| 2.0448948784023160e-02
169 MLA ||r(i)||/||b|| 2.0209360133775979e-02
170 MLA ||r(i)||/||b|| 1.9972252441335117e-02
171 MLA ||r(i)||/||b|| 1.9737623105328322e-02
172 MLA ||r(i)||/||b|| 1.9505471665118991e-02
173 MLA ||r(i)||/||b|| 1.9275800046341194e-02
174 MLA ||r(i)||/||b|| 1.9048611279998334e-02
175 MLA ||r(i)||/||b|| 1.8823909768630045e-02
176 MLA ||r(i)||/||b|| 1.8601700246896953e-02
177 MLA ||r(i)||/||b|| 1.8381987757364063e-02
178 MLA ||r(i)||/||b|| 1.8164777013222212e-02
179 MLA ||r(i)||/||b|| 1.7950072150412562e-02
180 MLA ||r(i)||/||b|| 1.7737876508653452e-02
181 MLA ||r(i)||/||b|| 1.7528192135945225e-02
182 MLA ||r(i)||/||b|| 1.7321019816232946e-02
183 MLA ||r(i)||/||b|| 1.7116358689310142e-02
184 MLA ||r(i)||/||b|| 1.6914206089782512e-02
185 MLA ||r(i)||/||b|| 1.6714557672142055e-02
186 MLA ||r(i)||/||b|| 1.6517407038176557e-02
187 MLA ||r(i)||/||b|| 1.6322745954601130e-02
188 MLA ||r(i)||/||b|| 1.6130563801411962e-02
189 MLA ||r(i)||/||b|| 1.5940848524677004e-02
