Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.976742 (s)
96 MLA ||r(i)||/||b|| 1.6973914100666215e-02
97 MLA ||r(i)||/||b|| 1.5813681700420239e-02
98 MLA ||r(i)||/||b|| 1.4734111328248986e-02
99 MLA ||r(i)||/||b|| 1.3729492775848950e-02
100 MLA ||r(i)||/||b|| 1.2794527310607401e-02
101 MLA ||r(i)||/||b|| 1.1924298505517286e-02
102 MLA ||r(i)||/||b|| 1.1114241745442980e-02
103 MLA ||r(i)||/||b|| 1.0360121532011740e-02
104 MLA ||r(i)||/||b|| 9.6580054761159096e-03
105 MLA ||r(i)||/||b|| 9.0042429651849467e-03
106 MLA ||r(i)||/||b|| 8.3954443549948150e-03
107 MLA ||r(i)||/||b|| 7.8300623340028970e-03
108 MLA ||r(i)||/||b|| 7.3555877434131655e-03
109 MLA ||r(i)||/||b|| 6.7943527656890807e-03
110 MLA ||r(i)||/||b|| 6.3221840444830351e-03
111 MLA ||r(i)||/||b|| 5.8931125974781536e-03
112 MLA ||r(i)||/||b|| 5.5015408717107002e-03
113 MLA ||r(i)||/||b|| 5.1676423489205921e-03
114 MLA ||r(i)||/||b|| 4.7791653034418846e-03
115 MLA ||r(i)||/||b|| 4.4514459624887450e-03
116 MLA ||r(i)||/||b|| 4.1534499008590488e-03
117 MLA ||r(i)||/||b|| 3.8786133275588992e-03
118 MLA ||r(i)||/||b|| 3.6236319491345986e-03
119 MLA ||r(i)||/||b|| 3.3857275310149341e-03
120 MLA ||r(i)||/||b|| 3.1639036022293263e-03
121 MLA ||r(i)||/||b|| 2.9567579099344945e-03
122 MLA ||r(i)||/||b|| 2.7631943976119786e-03
123 MLA ||r(i)||/||b|| 2.5822735898425406e-03
124 MLA ||r(i)||/||b|| 2.4131568354091516e-03
125 MLA ||r(i)||/||b|| 2.2550780064931868e-03
126 MLA ||r(i)||/||b|| 2.1073188183745937e-03
127 MLA ||r(i)||/||b|| 1.9692486919594848e-03
128 MLA ||r(i)||/||b|| 1.8402096998371071e-03
129 MLA ||r(i)||/||b|| 1.7196315532219996e-03
130 MLA ||r(i)||/||b|| 1.6069669885406489e-03
131 MLA ||r(i)||/||b|| 1.5017058898700618e-03
132 MLA ||r(i)||/||b|| 1.4033619171158161e-03
133 MLA ||r(i)||/||b|| 1.3114838675094176e-03
134 MLA ||r(i)||/||b|| 1.2308612631126777e-03
135 MLA ||r(i)||/||b|| 1.1447546662169984e-03
136 MLA ||r(i)||/||b|| 1.0684744817695418e-03
137 MLA ||r(i)||/||b|| 9.9814851900181605e-04
138 MLA ||r(i)||/||b|| 9.3284036541079786e-04
139 MLA ||r(i)||/||b|| 8.7200527886801497e-04
140 MLA ||r(i)||/||b|| 8.1524524350244849e-04
141 MLA ||r(i)||/||b|| 7.6223346544436769e-04
142 MLA ||r(i)||/||b|| 7.1271525535604712e-04
143 MLA ||r(i)||/||b|| 6.6643020006041493e-04
144 MLA ||r(i)||/||b|| 6.2316240423565821e-04
145 MLA ||r(i)||/||b|| 5.8271312182831133e-04
146 MLA ||r(i)||/||b|| 5.4489846398076509e-04
147 MLA ||r(i)||/||b|| 5.0953504349413178e-04
148 MLA ||r(i)||/||b|| 4.7649062029259744e-04
149 MLA ||r(i)||/||b|| 4.4559094005018732e-04
150 MLA ||r(i)||/||b|| 4.1670053486138618e-04
151 MLA ||r(i)||/||b|| 3.8967905454126157e-04
152 MLA ||r(i)||/||b|| 3.6542801549520608e-04
153 MLA ||r(i)||/||b|| 3.4129539448878287e-04
154 MLA ||r(i)||/||b|| 3.1845492160081733e-04
155 MLA ||r(i)||/||b|| 2.9758625035233025e-04
156 MLA ||r(i)||/||b|| 2.7823387251980783e-04
157 MLA ||r(i)||/||b|| 2.6021545618081372e-04
158 MLA ||r(i)||/||b|| 2.4340236804798668e-04
159 MLA ||r(i)||/||b|| 2.2769794419639136e-04
160 MLA ||r(i)||/||b|| 2.1302094176809601e-04
161 MLA ||r(i)||/||b|| 1.9929828510877910e-04
162 MLA ||r(i)||/||b|| 1.8654289571438438e-04
163 MLA ||r(i)||/||b|| 1.7445688282740607e-04
164 MLA ||r(i)||/||b|| 1.6320308933654267e-04
165 MLA ||r(i)||/||b|| 1.5269058995491546e-04
166 MLA ||r(i)||/||b|| 1.4286317703438316e-04
167 MLA ||r(i)||/||b|| 1.3367298069283365e-04
168 MLA ||r(i)||/||b|| 1.2507707442187643e-04
169 MLA ||r(i)||/||b|| 1.1703628803172268e-04
170 MLA ||r(i)||/||b|| 1.0951413958306101e-04
171 MLA ||r(i)||/||b|| 1.0247684858099364e-04
172 MLA ||r(i)||/||b|| 9.5893114654519736e-05
173 MLA ||r(i)||/||b|| 8.9733474904004051e-05
174 MLA ||r(i)||/||b|| 8.3970647980871296e-05
175 MLA ||r(i)||/||b|| 7.8578860245948374e-05
176 MLA ||r(i)||/||b|| 7.3534273699053104e-05
177 MLA ||r(i)||/||b|| 6.8814563581956774e-05
178 MLA ||r(i)||/||b|| 6.4398567715858132e-05
179 MLA ||r(i)||/||b|| 6.0266958700023233e-05
180 MLA ||r(i)||/||b|| 5.6401115108026231e-05
181 MLA ||r(i)||/||b|| 5.2783971070494678e-05
182 MLA ||r(i)||/||b|| 4.9399540257290537e-05
183 MLA ||r(i)||/||b|| 4.6232840548163401e-05
184 MLA ||r(i)||/||b|| 4.3269758419847237e-05
185 MLA ||r(i)||/||b|| 4.0497117762241123e-05
186 MLA ||r(i)||/||b|| 3.7902698043867965e-05
187 MLA ||r(i)||/||b|| 3.5475130418001859e-05
188 MLA ||r(i)||/||b|| 3.3203467504456975e-05
189 MLA ||r(i)||/||b|| 3.1077729978297753e-05
190 MLA ||r(i)||/||b|| 2.9088561747081512e-05
191 MLA ||r(i)||/||b|| 2.7227132406213789e-05
192 MLA ||r(i)||/||b|| 2.5485151261479173e-05
193 MLA ||r(i)||/||b|| 2.3855021563762929e-05
194 MLA ||r(i)||/||b|| 2.2329513439092863e-05
195 MLA ||r(i)||/||b|| 2.0901922523887175e-05
196 MLA ||r(i)||/||b|| 1.9565797207843444e-05
197 MLA ||r(i)||/||b|| 1.8315435045547858e-05
198 MLA ||r(i)||/||b|| 1.7145261963261250e-05
199 MLA ||r(i)||/||b|| 1.6050060909256968e-05
200 MLA ||r(i)||/||b|| 1.5025014486671346e-05
201 MLA ||r(i)||/||b|| 1.4065666451637187e-05
202 MLA ||r(i)||/||b|| 1.3167805540256514e-05
203 MLA ||r(i)||/||b|| 1.2327391253548066e-05
204 MLA ||r(i)||/||b|| 1.1540808210503469e-05
205 MLA ||r(i)||/||b|| 1.0804599166751838e-05
206 MLA ||r(i)||/||b|| 1.0115467425086071e-05
207 MLA ||r(i)||/||b|| 9.4704768751019771e-06
208 MLA ||r(i)||/||b|| 8.8667049093320971e-06
209 MLA ||r(i)||/||b|| 8.3016124229535336e-06
210 MLA ||r(i)||/||b|| 7.7725412323832157e-06
211 MLA ||r(i)||/||b|| 7.2773907782259234e-06
212 MLA ||r(i)||/||b|| 6.8138272530404869e-06
213 MLA ||r(i)||/||b|| 6.3798447232953892e-06
214 MLA ||r(i)||/||b|| 5.9736347611203304e-06
215 MLA ||r(i)||/||b|| 5.5933770492034782e-06
216 MLA ||r(i)||/||b|| 5.2374061988575275e-06
217 MLA ||r(i)||/||b|| 4.9042026104234364e-06
218 MLA ||r(i)||/||b|| 4.5922504199120401e-06
219 MLA ||r(i)||/||b|| 4.3001338360938742e-06
220 MLA ||r(i)||/||b|| 4.0266961657678899e-06
221 MLA ||r(i)||/||b|| 3.7706887590366089e-06
222 MLA ||r(i)||/||b|| 3.5310221573649920e-06
223 MLA ||r(i)||/||b|| 3.3065448745235171e-06
224 MLA ||r(i)||/||b|| 3.0964761676964584e-06
225 MLA ||r(i)||/||b|| 2.8997862063446606e-06
226 MLA ||r(i)||/||b|| 2.7155942661539153e-06
227 MLA ||r(i)||/||b|| 2.5431970665912762e-06
228 MLA ||r(i)||/||b|| 2.3817650935165466e-06
229 MLA ||r(i)||/||b|| 2.2306098022974209e-06
230 MLA ||r(i)||/||b|| 2.0891139564540188e-06
231 MLA ||r(i)||/||b|| 1.9565784445270605e-06
232 MLA ||r(i)||/||b|| 1.8324246862520819e-06
233 MLA ||r(i)||/||b|| 1.7161676356506003e-06
234 MLA ||r(i)||/||b|| 1.6074204655319827e-06
235 MLA ||r(i)||/||b|| 1.5055893393008108e-06
236 MLA ||r(i)||/||b|| 1.4101234268085568e-06
237 MLA ||r(i)||/||b|| 1.3207510879316986e-06
238 MLA ||r(i)||/||b|| 1.2370398521356908e-06
239 MLA ||r(i)||/||b|| 1.1587145958954224e-06
240 MLA ||r(i)||/||b|| 1.0853410341560605e-06
241 MLA ||r(i)||/||b|| 1.0166351862299767e-06
242 MLA ||r(i)||/||b|| 9.5226537019522514e-07
243 MLA ||r(i)||/||b|| 8.9195198980376492e-07
244 MLA ||r(i)||/||b|| 8.3551967402971888e-07
245 MLA ||r(i)||/||b|| 7.8267809480453348e-07
246 MLA ||r(i)||/||b|| 7.3317729926279467e-07
247 MLA ||r(i)||/||b|| 6.8679713920985763e-07
248 MLA ||r(i)||/||b|| 6.4333016924749446e-07
249 MLA ||r(i)||/||b|| 6.0266215017140325e-07
250 MLA ||r(i)||/||b|| 5.6461527418551683e-07
251 MLA ||r(i)||/||b|| 5.2890493744660749e-07
252 MLA ||r(i)||/||b|| 4.9550200865247090e-07
253 MLA ||r(i)||/||b|| 4.6419653622759317e-07
254 MLA ||r(i)||/||b|| 4.3491645625888973e-07
255 MLA ||r(i)||/||b|| 4.0756656703404678e-07
256 MLA ||r(i)||/||b|| 3.8179962088377675e-07
257 MLA ||r(i)||/||b|| 3.5767707399688227e-07
258 MLA ||r(i)||/||b|| 3.3511911294581452e-07
259 MLA ||r(i)||/||b|| 3.1395312928365820e-07
260 MLA ||r(i)||/||b|| 2.9414595018677410e-07
261 MLA ||r(i)||/||b|| 2.7561316417052177e-07
262 MLA ||r(i)||/||b|| 2.5821256807280431e-07
263 MLA ||r(i)||/||b|| 2.4199200615981149e-07
264 MLA ||r(i)||/||b|| 2.2671701119209219e-07
265 MLA ||r(i)||/||b|| 2.1245027379470734e-07
266 MLA ||r(i)||/||b|| 1.9904044957611888e-07
267 MLA ||r(i)||/||b|| 1.8649464861768321e-07
268 MLA ||r(i)||/||b|| 1.7471014522476742e-07
269 MLA ||r(i)||/||b|| 1.6378236517529080e-07
270 MLA ||r(i)||/||b|| 1.5345759205101785e-07
271 MLA ||r(i)||/||b|| 1.4383903370752727e-07
272 MLA ||r(i)||/||b|| 1.3477489718789317e-07
273 MLA ||r(i)||/||b|| 1.2630538737404807e-07
274 MLA ||r(i)||/||b|| 1.1842926953954996e-07
275 MLA ||r(i)||/||b|| 1.1094244120266862e-07
276 MLA ||r(i)||/||b|| 1.0396781926538399e-07
277 MLA ||r(i)||/||b|| 9.7472045693481788e-08
278 MLA ||r(i)||/||b|| 9.1367529916907805e-08
279 MLA ||r(i)||/||b|| 8.5671070653417682e-08
280 MLA ||r(i)||/||b|| 8.0271284030775608e-08
281 MLA ||r(i)||/||b|| 7.5275449089137133e-08
282 MLA ||r(i)||/||b|| 7.0547850766702741e-08
283 MLA ||r(i)||/||b|| 6.6141472670445889e-08
284 MLA ||r(i)||/||b|| 6.2042805401929762e-08
285 MLA ||r(i)||/||b|| 5.8163655132319017e-08
286 MLA ||r(i)||/||b|| 5.4536091514214980e-08
287 MLA ||r(i)||/||b|| 5.1108816334373335e-08
288 MLA ||r(i)||/||b|| 4.7973768493250521e-08
289 MLA ||r(i)||/||b|| 4.5068511540629715e-08
290 MLA ||r(i)||/||b|| 4.2305542393575051e-08
291 MLA ||r(i)||/||b|| 3.9634515635667851e-08
292 MLA ||r(i)||/||b|| 3.7176186018416456e-08
293 MLA ||r(i)||/||b|| 3.4937306434849651e-08
294 MLA ||r(i)||/||b|| 3.2727048050133281e-08
295 MLA ||r(i)||/||b|| 3.0743401854969816e-08
296 MLA ||r(i)||/||b|| 2.8841782289270703e-08
297 MLA ||r(i)||/||b|| 2.7114751196934070e-08
298 MLA ||r(i)||/||b|| 2.5506218246518176e-08
299 MLA ||r(i)||/||b|| 2.3964168603461790e-08
300 MLA ||r(i)||/||b|| 2.2562402468968357e-08
301 MLA ||r(i)||/||b|| 2.1209216391353634e-08
302 MLA ||r(i)||/||b|| 1.9928255283045744e-08
303 MLA ||r(i)||/||b|| 1.8820211498634456e-08
304 MLA ||r(i)||/||b|| 1.7818312368107798e-08
305 MLA ||r(i)||/||b|| 1.6691906298495739e-08
306 MLA ||r(i)||/||b|| 1.5741285916093694e-08
307 MLA ||r(i)||/||b|| 1.4828606583316059e-08
308 MLA ||r(i)||/||b|| 1.4098698935426985e-08
309 MLA ||r(i)||/||b|| 1.3275730020142645e-08
310 MLA ||r(i)||/||b|| 1.2566463338401354e-08
311 MLA ||r(i)||/||b|| 1.1934038431068133e-08
312 MLA ||r(i)||/||b|| 1.1285405399365577e-08
313 MLA ||r(i)||/||b|| 1.0755706523161982e-08
314 MLA ||r(i)||/||b|| 1.0223200526770886e-08
315 MLA ||r(i)||/||b|| 9.7571681951565283e-09
>>>> mla solve time: 16.4719 (s)
  0 KSP unpreconditioned resid norm 3.645678991486e-01 true resid norm 3.645678991486e-01 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 4.096753232283e+00 true resid norm 4.096753232283e+00 ||r(i)||/||b|| 1.123728458224e+01
  2 KSP unpreconditioned resid norm 9.303988782894e+00 true resid norm 9.303988782894e+00 ||r(i)||/||b|| 2.552059247296e+01
  3 KSP unpreconditioned resid norm 6.175285311563e+00 true resid norm 6.175285311563e+00 ||r(i)||/||b|| 1.693864250249e+01
  4 KSP unpreconditioned resid norm 8.959941962849e+00 true resid norm 8.959941962849e+00 ||r(i)||/||b|| 2.457688124427e+01
  5 KSP unpreconditioned resid norm 7.552871047390e+00 true resid norm 7.552871047390e+00 ||r(i)||/||b|| 2.071732334368e+01
  6 KSP unpreconditioned resid norm 8.338096615100e+00 true resid norm 8.338096615100e+00 ||r(i)||/||b|| 2.287117608152e+01
  7 KSP unpreconditioned resid norm 7.994919308132e+00 true resid norm 7.994919308132e+00 ||r(i)||/||b|| 2.192984990396e+01
  8 KSP unpreconditioned resid norm 8.968707369634e+00 true resid norm 8.968707369634e+00 ||r(i)||/||b|| 2.460092452072e+01
  9 KSP unpreconditioned resid norm 8.075375527469e+00 true resid norm 8.075375527469e+00 ||r(i)||/||b|| 2.215053916246e+01
 10 KSP unpreconditioned resid norm 8.631805293316e+00 true resid norm 8.631805293316e+00 ||r(i)||/||b|| 2.367681113305e+01
 11 KSP unpreconditioned resid norm 9.290806130859e+00 true resid norm 9.290806130859e+00 ||r(i)||/||b|| 2.548443281088e+01
 12 KSP unpreconditioned resid norm 8.496372665520e+00 true resid norm 8.496372665520e+00 ||r(i)||/||b|| 2.330532305604e+01
 13 KSP unpreconditioned resid norm 9.415535926571e+00 true resid norm 9.415535926571e+00 ||r(i)||/||b|| 2.582656330565e+01
 14 KSP unpreconditioned resid norm 1.010131049948e+01 true resid norm 1.010131049948e+01 ||r(i)||/||b|| 2.770762462376e+01
 15 KSP unpreconditioned resid norm 9.467792857984e+00 true resid norm 9.467792857984e+00 ||r(i)||/||b|| 2.596990267134e+01
 16 KSP unpreconditioned resid norm 8.991851536670e+00 true resid norm 8.991851536670e+00 ||r(i)||/||b|| 2.466440835210e+01
 17 KSP unpreconditioned resid norm 9.301740964553e+00 true resid norm 9.301740964553e+00 ||r(i)||/||b|| 2.551442676735e+01
 18 KSP unpreconditioned resid norm 1.031575981809e+01 true resid norm 1.031575981809e+01 ||r(i)||/||b|| 2.829585337101e+01
 19 KSP unpreconditioned resid norm 1.195808195113e+01 true resid norm 1.195808195113e+01 ||r(i)||/||b|| 3.280069907156e+01
 20 KSP unpreconditioned resid norm 1.051705218534e+01 true resid norm 1.051705218534e+01 ||r(i)||/||b|| 2.884799295248e+01
>>>> ksp solve time: 0.127609 (s)
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 2.8847992952476069e+01
