Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.84187 (s)
96 MLA ||r(i)||/||b|| 9.6144671585114572e-01
97 MLA ||r(i)||/||b|| 9.3811913309190997e-01
98 MLA ||r(i)||/||b|| 9.1542677271421435e-01
99 MLA ||r(i)||/||b|| 8.9334833556974769e-01
100 MLA ||r(i)||/||b|| 8.7186340620592462e-01
101 MLA ||r(i)||/||b|| 8.5095241107788311e-01
102 MLA ||r(i)||/||b|| 8.3059658148283055e-01
103 MLA ||r(i)||/||b|| 8.1077791548186950e-01
104 MLA ||r(i)||/||b|| 7.9147914241227724e-01
105 MLA ||r(i)||/||b|| 7.7268368984823399e-01
106 MLA ||r(i)||/||b|| 7.5437565056509148e-01
107 MLA ||r(i)||/||b|| 7.3653975205713151e-01
108 MLA ||r(i)||/||b|| 7.1916132769486552e-01
109 MLA ||r(i)||/||b|| 7.0222628803607356e-01
110 MLA ||r(i)||/||b|| 6.8572109488590616e-01
111 MLA ||r(i)||/||b|| 6.6963273543801682e-01
112 MLA ||r(i)||/||b|| 6.5394869816119316e-01
113 MLA ||r(i)||/||b|| 6.3865695014401369e-01
114 MLA ||r(i)||/||b|| 6.2374591448689032e-01
115 MLA ||r(i)||/||b|| 6.0920445029092984e-01
116 MLA ||r(i)||/||b|| 5.9502183229570860e-01
117 MLA ||r(i)||/||b|| 5.8118773168074978e-01
118 MLA ||r(i)||/||b|| 5.6769219925271663e-01
119 MLA ||r(i)||/||b|| 5.5452564698623086e-01
120 MLA ||r(i)||/||b|| 5.4167883243628390e-01
121 MLA ||r(i)||/||b|| 5.2914284344240226e-01
122 MLA ||r(i)||/||b|| 5.1690908301943750e-01
123 MLA ||r(i)||/||b|| 5.0496925542278426e-01
124 MLA ||r(i)||/||b|| 4.9331535311113545e-01
125 MLA ||r(i)||/||b|| 4.8193964398280048e-01
126 MLA ||r(i)||/||b|| 4.7083465904748822e-01
127 MLA ||r(i)||/||b|| 4.5999318170725734e-01
128 MLA ||r(i)||/||b|| 4.4940823602735036e-01
129 MLA ||r(i)||/||b|| 4.3907307705611381e-01
130 MLA ||r(i)||/||b|| 4.2898118092601051e-01
131 MLA ||r(i)||/||b|| 4.1912623515337827e-01
132 MLA ||r(i)||/||b|| 4.0950212991435259e-01
133 MLA ||r(i)||/||b|| 4.0010294984462608e-01
134 MLA ||r(i)||/||b|| 3.9092296569462864e-01
135 MLA ||r(i)||/||b|| 3.8195662701943112e-01
136 MLA ||r(i)||/||b|| 3.7319855459023504e-01
137 MLA ||r(i)||/||b|| 3.6464353387401244e-01
138 MLA ||r(i)||/||b|| 3.5628650794760724e-01
139 MLA ||r(i)||/||b|| 3.4812257146944231e-01
140 MLA ||r(i)||/||b|| 3.4014696491390911e-01
141 MLA ||r(i)||/||b|| 3.3235506909076912e-01
142 MLA ||r(i)||/||b|| 3.2474239886351125e-01
143 MLA ||r(i)||/||b|| 3.1730459893115182e-01
144 MLA ||r(i)||/||b|| 3.1003743862115574e-01
145 MLA ||r(i)||/||b|| 3.0293680686043173e-01
146 MLA ||r(i)||/||b|| 2.9599870851180909e-01
147 MLA ||r(i)||/||b|| 2.8921925945708804e-01
148 MLA ||r(i)||/||b|| 2.8259468273144467e-01
149 MLA ||r(i)||/||b|| 2.7612130493407416e-01
150 MLA ||r(i)||/||b|| 2.6979555243748843e-01
151 MLA ||r(i)||/||b|| 2.6361394764539176e-01
152 MLA ||r(i)||/||b|| 2.5757310605285305e-01
153 MLA ||r(i)||/||b|| 2.5166973278380395e-01
154 MLA ||r(i)||/||b|| 2.4590061923968476e-01
155 MLA ||r(i)||/||b|| 2.4026264120608154e-01
