Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.979449 (s)
96 MLA ||r(i)||/||b|| 3.0905970919251521e+151
97 MLA ||r(i)||/||b|| 1.3245465948614771e+153
98 MLA ||r(i)||/||b||                   inf
99 MLA ||r(i)||/||b||                   inf
100 MLA ||r(i)||/||b||                   inf
101 MLA ||r(i)||/||b||                   inf
102 MLA ||r(i)||/||b||                   inf
103 MLA ||r(i)||/||b||                   inf
104 MLA ||r(i)||/||b||                   inf
105 MLA ||r(i)||/||b||                   inf
106 MLA ||r(i)||/||b||                   inf
107 MLA ||r(i)||/||b||                   inf
108 MLA ||r(i)||/||b||                   inf
109 MLA ||r(i)||/||b||                   inf
110 MLA ||r(i)||/||b||                   inf
111 MLA ||r(i)||/||b||                   inf
112 MLA ||r(i)||/||b||                   inf
113 MLA ||r(i)||/||b||                   inf
114 MLA ||r(i)||/||b||                   inf
115 MLA ||r(i)||/||b||                   inf
116 MLA ||r(i)||/||b||                   inf
117 MLA ||r(i)||/||b||                   inf
118 MLA ||r(i)||/||b||                   inf
119 MLA ||r(i)||/||b||                   inf
120 MLA ||r(i)||/||b||                   inf
121 MLA ||r(i)||/||b||                   inf
122 MLA ||r(i)||/||b||                   inf
123 MLA ||r(i)||/||b||                   inf
124 MLA ||r(i)||/||b||                   inf
125 MLA ||r(i)||/||b||                   inf
126 MLA ||r(i)||/||b||                   inf
127 MLA ||r(i)||/||b||                   inf
128 MLA ||r(i)||/||b||                   inf
129 MLA ||r(i)||/||b||                   inf
130 MLA ||r(i)||/||b||                   inf
131 MLA ||r(i)||/||b||                   inf
132 MLA ||r(i)||/||b||                   inf
133 MLA ||r(i)||/||b||                   inf
134 MLA ||r(i)||/||b||                   inf
