Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.838865 (s)
96 MLA ||r(i)||/||b|| 5.3118547261532734e-01
97 MLA ||r(i)||/||b|| 5.1795121146466438e-01
98 MLA ||r(i)||/||b|| 5.0506179492935044e-01
99 MLA ||r(i)||/||b|| 4.9250679005924208e-01
100 MLA ||r(i)||/||b|| 4.8027617729308275e-01
101 MLA ||r(i)||/||b|| 4.6836032961037954e-01
102 MLA ||r(i)||/||b|| 4.5674999282499018e-01
103 MLA ||r(i)||/||b|| 4.4543626676688658e-01
104 MLA ||r(i)||/||b|| 4.3441058722734766e-01
105 MLA ||r(i)||/||b|| 4.2366470987157084e-01
106 MLA ||r(i)||/||b|| 4.1319069394505031e-01
107 MLA ||r(i)||/||b|| 4.0298088807884330e-01
108 MLA ||r(i)||/||b|| 3.9302791565949324e-01
109 MLA ||r(i)||/||b|| 3.8332466168684270e-01
110 MLA ||r(i)||/||b|| 3.7386426101311065e-01
111 MLA ||r(i)||/||b|| 3.6464008539286219e-01
112 MLA ||r(i)||/||b|| 3.5564573357316892e-01
113 MLA ||r(i)||/||b|| 3.4687501990304820e-01
114 MLA ||r(i)||/||b|| 3.3832196486293109e-01
115 MLA ||r(i)||/||b|| 3.2998078597990854e-01
116 MLA ||r(i)||/||b|| 3.2184588830288330e-01
117 MLA ||r(i)||/||b|| 3.1391185668744392e-01
118 MLA ||r(i)||/||b|| 3.0617344791155821e-01
119 MLA ||r(i)||/||b|| 2.9862558276309159e-01
120 MLA ||r(i)||/||b|| 2.9126333968702461e-01
121 MLA ||r(i)||/||b|| 2.8408194757987160e-01
122 MLA ||r(i)||/||b|| 2.7707677990229079e-01
123 MLA ||r(i)||/||b|| 2.7024334876878653e-01
124 MLA ||r(i)||/||b|| 2.6357729875277397e-01
125 MLA ||r(i)||/||b|| 2.5707440252121799e-01
126 MLA ||r(i)||/||b|| 2.5073055516008858e-01
127 MLA ||r(i)||/||b|| 2.4454176944066058e-01
128 MLA ||r(i)||/||b|| 2.3850417155937320e-01
129 MLA ||r(i)||/||b|| 2.3261399674055697e-01
130 MLA ||r(i)||/||b|| 2.2686758529043596e-01
131 MLA ||r(i)||/||b|| 2.2126137849477281e-01
132 MLA ||r(i)||/||b|| 2.1579191528152503e-01
133 MLA ||r(i)||/||b|| 2.1045582840694030e-01
134 MLA ||r(i)||/||b|| 2.0524984138872079e-01
135 MLA ||r(i)||/||b|| 2.0017076562033090e-01
136 MLA ||r(i)||/||b|| 1.9521549652156517e-01
137 MLA ||r(i)||/||b|| 1.9038101160979604e-01
138 MLA ||r(i)||/||b|| 1.8566436777527442e-01
139 MLA ||r(i)||/||b|| 1.8106269780191100e-01
140 MLA ||r(i)||/||b|| 1.7657320868937770e-01
141 MLA ||r(i)||/||b|| 1.7219317911062110e-01
142 MLA ||r(i)||/||b|| 1.6791995712584631e-01
143 MLA ||r(i)||/||b|| 1.6375095800233364e-01
144 MLA ||r(i)||/||b|| 1.5968366220827948e-01
145 MLA ||r(i)||/||b|| 1.5571561357771740e-01
146 MLA ||r(i)||/||b|| 1.5184441714595553e-01
147 MLA ||r(i)||/||b|| 1.4806773759591998e-01
148 MLA ||r(i)||/||b|| 1.4438329743840253e-01
149 MLA ||r(i)||/||b|| 1.4078887527045947e-01
150 MLA ||r(i)||/||b|| 1.3728230434164515e-01
151 MLA ||r(i)||/||b|| 1.3386147079326124e-01
152 MLA ||r(i)||/||b|| 1.3052431261921282e-01
153 MLA ||r(i)||/||b|| 1.2726881767599860e-01
154 MLA ||r(i)||/||b|| 1.2409302271218710e-01
155 MLA ||r(i)||/||b|| 1.2099501194515878e-01
156 MLA ||r(i)||/||b|| 1.1797291585396960e-01
157 MLA ||r(i)||/||b|| 1.1502491000378734e-01
158 MLA ||r(i)||/||b|| 1.1214921337008070e-01
159 MLA ||r(i)||/||b|| 1.0934408788878847e-01
160 MLA ||r(i)||/||b|| 1.0660783702335007e-01
161 MLA ||r(i)||/||b|| 1.0393880477323528e-01
162 MLA ||r(i)||/||b|| 1.0133537468777283e-01
163 MLA ||r(i)||/||b|| 9.8795968516163069e-02
164 MLA ||r(i)||/||b|| 9.6319045764957256e-02
165 MLA ||r(i)||/||b|| 9.3903102488692283e-02
166 MLA ||r(i)||/||b|| 9.1546670232525745e-02
167 MLA ||r(i)||/||b|| 8.9248315723946120e-02
168 MLA ||r(i)||/||b|| 8.7006639148369369e-02
169 MLA ||r(i)||/||b|| 8.4820274293286008e-02
170 MLA ||r(i)||/||b|| 8.2687886899639712e-02
171 MLA ||r(i)||/||b|| 8.0608174389605533e-02
172 MLA ||r(i)||/||b|| 7.8579865039004604e-02
173 MLA ||r(i)||/||b|| 7.6601716999484898e-02
174 MLA ||r(i)||/||b|| 7.4672517817768749e-02
175 MLA ||r(i)||/||b|| 7.2791083812544372e-02
176 MLA ||r(i)||/||b|| 7.0956259020365786e-02
177 MLA ||r(i)||/||b|| 6.9166914909528296e-02
178 MLA ||r(i)||/||b|| 6.7421949563339800e-02
179 MLA ||r(i)||/||b|| 6.5720287230015925e-02
180 MLA ||r(i)||/||b|| 6.4060877351442377e-02
181 MLA ||r(i)||/||b|| 6.2442694111239455e-02
182 MLA ||r(i)||/||b|| 6.0864736424500715e-02
183 MLA ||r(i)||/||b|| 5.9326026288611410e-02
184 MLA ||r(i)||/||b|| 5.7825609236127090e-02
185 MLA ||r(i)||/||b|| 5.6362553269330241e-02
186 MLA ||r(i)||/||b|| 5.4935948265210963e-02
187 MLA ||r(i)||/||b|| 5.3544905990694489e-02
188 MLA ||r(i)||/||b|| 5.2188558976629836e-02
189 MLA ||r(i)||/||b|| 5.0866060582118143e-02
190 MLA ||r(i)||/||b|| 4.9576583908311031e-02
191 MLA ||r(i)||/||b|| 4.8319322006145797e-02
192 MLA ||r(i)||/||b|| 4.7093487005480814e-02
193 MLA ||r(i)||/||b|| 4.5898309628021175e-02
