Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.795883 (s)
  0 KSP unpreconditioned resid norm 3.645678991486e-01 true resid norm 3.645678991486e-01 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 2.462780149382e+01 true resid norm 2.462780149381e+01 ||r(i)||/||b|| 6.755340102989e+01
  2 KSP unpreconditioned resid norm 3.030168793758e+01 true resid norm 3.030168793758e+01 ||r(i)||/||b|| 8.311671984380e+01
  3 KSP unpreconditioned resid norm 1.939055045207e+01 true resid norm 1.939055045207e+01 ||r(i)||/||b|| 5.318776144952e+01
  4 KSP unpreconditioned resid norm 1.549570531476e+01 true resid norm 1.549570531477e+01 ||r(i)||/||b|| 4.250430537344e+01
  5 KSP unpreconditioned resid norm 1.432182209374e+01 true resid norm 1.432182209374e+01 ||r(i)||/||b|| 3.928437508401e+01
  6 KSP unpreconditioned resid norm 7.983081530029e+00 true resid norm 7.983081530043e+00 ||r(i)||/||b|| 2.189737919517e+01
  7 KSP unpreconditioned resid norm 6.711551431503e+00 true resid norm 6.711551431493e+00 ||r(i)||/||b|| 1.840960613144e+01
  8 KSP unpreconditioned resid norm 5.018579184513e+00 true resid norm 5.018579184529e+00 ||r(i)||/||b|| 1.376582852261e+01
  9 KSP unpreconditioned resid norm 4.506926098494e+00 true resid norm 4.506926098477e+00 ||r(i)||/||b|| 1.236237778752e+01
 10 KSP unpreconditioned resid norm 4.206712524308e+00 true resid norm 4.206712524317e+00 ||r(i)||/||b|| 1.153889998033e+01
 11 KSP unpreconditioned resid norm 3.310282550032e+00 true resid norm 3.310282550016e+00 ||r(i)||/||b|| 9.080016528462e+00
 12 KSP unpreconditioned resid norm 2.672252927903e+00 true resid norm 2.672252927914e+00 ||r(i)||/||b|| 7.329918333881e+00
 13 KSP unpreconditioned resid norm 2.480488200505e+00 true resid norm 2.480488200493e+00 ||r(i)||/||b|| 6.803912813733e+00
 14 KSP unpreconditioned resid norm 1.986428823139e+00 true resid norm 1.986428823139e+00 ||r(i)||/||b|| 5.448721151197e+00
 15 KSP unpreconditioned resid norm 1.777577626258e+00 true resid norm 1.777577626252e+00 ||r(i)||/||b|| 4.875847902141e+00
 16 KSP unpreconditioned resid norm 1.546180550836e+00 true resid norm 1.546180550840e+00 ||r(i)||/||b|| 4.241131911094e+00
 17 KSP unpreconditioned resid norm 1.262472181308e+00 true resid norm 1.262472181294e+00 ||r(i)||/||b|| 3.462927438873e+00
 18 KSP unpreconditioned resid norm 1.114944749578e+00 true resid norm 1.114944749601e+00 ||r(i)||/||b|| 3.058263638145e+00
