Config file: ../input/config/mla_v_cycle-refine0.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 1506, matrix Column = 1506
matrix nz_allocated = 27747, matrix nz_used = 27747, matrix nz_unneeded = 0
vector Row = 1506
initial     || b ||_2 = 2.6501139470351753e+00
>>>>local_vec_size = 1506
>>>>~~~~ local_mat_m = 1506, local_mat_n = 1506
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 0 is 62, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0105965 (s)
96 MLA ||r(i)||/||b|| 4.0715827420406978e-06
97 MLA ||r(i)||/||b|| 4.0715582015954180e-06
98 MLA ||r(i)||/||b|| 4.0715588020035960e-06
99 MLA ||r(i)||/||b|| 4.0715612890181059e-06
100 MLA ||r(i)||/||b|| 4.0715618898854953e-06
101 MLA ||r(i)||/||b|| 4.0715771603732420e-06
102 MLA ||r(i)||/||b|| 4.0715772701276860e-06
103 MLA ||r(i)||/||b|| 4.0716718172027255e-06
104 MLA ||r(i)||/||b|| 4.0716717704693251e-06
105 MLA ||r(i)||/||b|| 4.0716695607875704e-06
106 MLA ||r(i)||/||b|| 4.0716761786857173e-06
107 MLA ||r(i)||/||b|| 4.0716772893837911e-06
108 MLA ||r(i)||/||b|| 4.0716772941937405e-06
109 MLA ||r(i)||/||b|| 4.0716894709993901e-06
110 MLA ||r(i)||/||b|| 4.0716902809032630e-06
111 MLA ||r(i)||/||b|| 4.0716939919905240e-06
112 MLA ||r(i)||/||b|| 4.0716945091570253e-06
113 MLA ||r(i)||/||b|| 4.0717239104243170e-06
114 MLA ||r(i)||/||b|| 4.0717205105775846e-06
115 MLA ||r(i)||/||b|| 4.0717228295009514e-06
116 MLA ||r(i)||/||b|| 4.0717309380157486e-06
117 MLA ||r(i)||/||b|| 4.0717292001290746e-06
118 MLA ||r(i)||/||b|| 4.0717234754386090e-06
119 MLA ||r(i)||/||b|| 4.0717280150079782e-06
120 MLA ||r(i)||/||b|| 4.0717275785953407e-06
121 MLA ||r(i)||/||b|| 4.0717343644046489e-06
122 MLA ||r(i)||/||b|| 4.0717457882398856e-06
123 MLA ||r(i)||/||b|| 4.0717459687642332e-06
124 MLA ||r(i)||/||b|| 4.0717347855079807e-06
125 MLA ||r(i)||/||b|| 4.0717320802454361e-06
126 MLA ||r(i)||/||b|| 4.0717329112435084e-06
127 MLA ||r(i)||/||b|| 4.0717274191168295e-06
128 MLA ||r(i)||/||b|| 4.0717059055987549e-06
129 MLA ||r(i)||/||b|| 4.0717422266456077e-06
130 MLA ||r(i)||/||b|| 4.0717396024109912e-06
131 MLA ||r(i)||/||b|| 4.0717471450636593e-06
132 MLA ||r(i)||/||b|| 4.0717490429685705e-06
133 MLA ||r(i)||/||b|| 4.0717488446815871e-06
134 MLA ||r(i)||/||b|| 4.0717505416570585e-06
135 MLA ||r(i)||/||b|| 4.0717523248877972e-06
136 MLA ||r(i)||/||b|| 4.0717554926442156e-06
137 MLA ||r(i)||/||b|| 4.0717593327172794e-06
138 MLA ||r(i)||/||b|| 4.0717612274972606e-06
139 MLA ||r(i)||/||b|| 4.0717652420916520e-06
140 MLA ||r(i)||/||b|| 4.0717702922769441e-06
141 MLA ||r(i)||/||b|| 4.0717701023129659e-06
142 MLA ||r(i)||/||b|| 4.0717703015470836e-06
143 MLA ||r(i)||/||b|| 4.0717713119432207e-06
144 MLA ||r(i)||/||b|| 4.0717686083407844e-06
145 MLA ||r(i)||/||b|| 4.0717690238805658e-06
146 MLA ||r(i)||/||b|| 4.0717702486135570e-06
147 MLA ||r(i)||/||b|| 4.0717709184238785e-06
148 MLA ||r(i)||/||b|| 4.0717685767759526e-06
149 MLA ||r(i)||/||b|| 4.0717724613224507e-06
