Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>

 43 KSP unpreconditioned resid norm 4.513171735839e-02 true resid norm 4.513171736125e-02 ||r(i)||/||b|| 1.237950940460e-01
 44 KSP unpreconditioned resid norm 3.859033373844e-02 true resid norm 3.859033372490e-02 ||r(i)||/||b|| 1.058522536269e-01
 45 KSP unpreconditioned resid norm 3.014749307707e-02 true resid norm 3.014749307223e-02 ||r(i)||/||b|| 8.269376745082e-02
 46 KSP unpreconditioned resid norm 3.049014292801e-02 true resid norm 3.049014291145e-02 ||r(i)||/||b|| 8.363364679844e-02
 47 KSP unpreconditioned resid norm 3.945150856852e-02 true resid norm 3.945150856147e-02 ||r(i)||/||b|| 1.082144331786e-01
 48 KSP unpreconditioned resid norm 2.830591985010e-02 true resid norm 2.830591984251e-02 ||r(i)||/||b|| 7.764238131940e-02
 49 KSP unpreconditioned resid norm 3.191162593775e-02 true resid norm 3.191162591619e-02 ||r(i)||/||b|| 8.753273667459e-02
 50 KSP unpreconditioned resid norm 3.397439150337e-02 true resid norm 3.397439148657e-02 ||r(i)||/||b|| 9.319084748247e-02
 51 KSP unpreconditioned resid norm 3.452710519945e-02 true resid norm 3.452710520182e-02 ||r(i)||/||b|| 9.470692642564e-02
 52 KSP unpreconditioned resid norm 3.450439713543e-02 true resid norm 3.450439711663e-02 ||r(i)||/||b|| 9.464463875511e-02
 53 KSP unpreconditioned resid norm 3.359897600190e-02 true resid norm 3.359897598786e-02 ||r(i)||/||b|| 9.216109280691e-02
 54 KSP unpreconditioned resid norm 3.278861545608e-02 true resid norm 3.278861544568e-02 ||r(i)||/||b|| 8.993829550614e-02
 55 KSP unpreconditioned resid norm 3.301092420855e-02 true resid norm 3.301092418494e-02 ||r(i)||/||b|| 9.054808243411e-02
 56 KSP unpreconditioned resid norm 3.460387115516e-02 true resid norm 3.460387115028e-02 ||r(i)||/||b|| 9.491749336979e-02
 57 KSP unpreconditioned resid norm 3.327249938826e-02 true resid norm 3.327249937680e-02 ||r(i)||/||b|| 9.126557619171e-02
