Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.84286 (s)
96 MLA ||r(i)||/||b|| 1.0132551955961557e+04
97 MLA ||r(i)||/||b|| 1.0135626302676237e+04
98 MLA ||r(i)||/||b|| 1.0139070507856188e+04
99 MLA ||r(i)||/||b|| 1.0142930564627781e+04
100 MLA ||r(i)||/||b|| 1.0147258062220799e+04
101 MLA ||r(i)||/||b|| 1.0152110860566436e+04
102 MLA ||r(i)||/||b|| 1.0157553843422471e+04
103 MLA ||r(i)||/||b|| 1.0163659758503525e+04
104 MLA ||r(i)||/||b|| 1.0170510153814628e+04
105 MLA ||r(i)||/||b|| 1.0178196420155420e+04
106 MLA ||r(i)||/||b|| 1.0186820950498193e+04
107 MLA ||r(i)||/||b|| 1.0196498427698745e+04
108 MLA ||r(i)||/||b|| 1.0207357252662470e+04
109 MLA ||r(i)||/||b|| 1.0219541125707445e+04
110 MLA ||r(i)||/||b|| 1.0233210794354462e+04
111 MLA ||r(i)||/||b|| 1.0248545981045392e+04
112 MLA ||r(i)||/||b|| 1.0265747504377687e+04
113 MLA ||r(i)||/||b|| 1.0285039607140234e+04
114 MLA ||r(i)||/||b|| 1.0306672503754842e+04
115 MLA ||r(i)||/||b|| 1.0330925158485952e+04
116 MLA ||r(i)||/||b|| 1.0358108303891991e+04
117 MLA ||r(i)||/||b|| 1.0388567706324538e+04
118 MLA ||r(i)||/||b|| 1.0422687681653473e+04
119 MLA ||r(i)||/||b|| 1.0460894859723941e+04
120 MLA ||r(i)||/||b|| 1.0503662190161767e+04
121 MLA ||r(i)||/||b|| 1.0551513174964606e+04
122 MLA ||r(i)||/||b|| 1.0605026304790295e+04
123 MLA ||r(i)||/||b|| 1.0664839666021449e+04
124 MLA ||r(i)||/||b|| 1.0731655674664949e+04
125 MLA ||r(i)||/||b|| 1.0806245881266554e+04
126 MLA ||r(i)||/||b|| 1.0889455778702217e+04
127 MLA ||r(i)||/||b|| 1.0982209532670069e+04
128 MLA ||r(i)||/||b|| 1.1085514543845356e+04
129 MLA ||r(i)||/||b|| 1.1200465742133372e+04
130 MLA ||r(i)||/||b|| 1.1328249508578645e+04
131 MLA ||r(i)||/||b|| 1.1470147120758704e+04
132 MLA ||r(i)||/||b|| 1.1627537624329205e+04
133 MLA ||r(i)||/||b|| 1.1801900048075111e+04
134 MLA ||r(i)||/||b|| 1.1994814903234615e+04
135 MLA ||r(i)||/||b|| 1.2207964940196731e+04
136 MLA ||r(i)||/||b|| 1.2443135176298085e+04
137 MLA ||r(i)||/||b|| 1.2702212255664361e+04
138 MLA ||r(i)||/||b|| 1.2987183253116265e+04
139 MLA ||r(i)||/||b|| 1.3300134085383454e+04
140 MLA ||r(i)||/||b|| 1.3643247739852855e+04
141 MLA ||r(i)||/||b|| 1.4018802569350491e+04
142 MLA ||r(i)||/||b|| 1.4429170926852776e+04
143 MLA ||r(i)||/||b|| 1.4876818423490675e+04
144 MLA ||r(i)||/||b|| 1.5364304085237423e+04
