Config file: ../input/config/comsol-model/spherical-shell/dof-684.json
==== basic information of linear system ====
matrix Row = 684, matrix Column = 684
matrix nz_allocated = 23256, matrix nz_used = 23256, matrix nz_unneeded = 0
vector Row = 684
initial     || b ||_2 = 5.0000000000000000e+03
==== Initial L2 norm of residual
            || b ||_2 = 5.0000000000000000e+03
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00
Partitioning a graph of size 114 serially
      Setup: Max:   0.000, Sum:   0.002, Balance:   1.001
      Remap: Max:   0.000, Sum:   0.000, Balance:   2.000
      Total: Max:   0.005, Sum:   0.021, Balance:   1.000
       Aux1: Max:   0.000, Sum:   0.000, Balance:   1.073
Final  28-way Cut:    165 	Balance: 1.228 
==== Smoothed Aggregation-based Multigrid
>>>> samg setup time: 0.0349588 (s)
 43 KSP preconditioned resid norm 2.972812468787e-08 true resid norm 3.241858455706e+02 ||r(i)||/||b|| 6.483716911412e-02
 44 KSP preconditioned resid norm 2.244804192116e-08 true resid norm 2.681917945813e+02 ||r(i)||/||b|| 5.363835891625e-02
 45 KSP preconditioned resid norm 1.617459847658e-08 true resid norm 2.472407509569e+02 ||r(i)||/||b|| 4.944815019138e-02
 46 KSP preconditioned resid norm 2.807435283272e-08 true resid norm 2.181585310026e+02 ||r(i)||/||b|| 4.363170620053e-02
 47 KSP preconditioned resid norm 3.669628077786e-08 true resid norm 2.616850850835e+02 ||r(i)||/||b|| 5.233701701671e-02
 48 KSP preconditioned resid norm 2.190787547354e-08 true resid norm 2.740763732389e+02 ||r(i)||/||b|| 5.481527464777e-02
 49 KSP preconditioned resid norm 3.622255707989e-08 true resid norm 3.289561336739e+02 ||r(i)||/||b|| 6.579122673477e-02
 50 KSP preconditioned resid norm 2.732336777002e-08 true resid norm 2.978159583679e+02 ||r(i)||/||b|| 5.956319167359e-02
 51 KSP preconditioned resid norm 4.177728510702e-08 true resid norm 2.783950707273e+02 ||r(i)||/||b|| 5.567901414547e-02
 52 KSP preconditioned resid norm 2.866015399337e-08 true resid norm 3.097472012157e+02 ||r(i)||/||b|| 6.194944024315e-02
