Config file: ../input/config/comsol-model/spherical-shell/dof-684.json
==== basic information of linear system ====
matrix Row = 684, matrix Column = 684
matrix nz_allocated = 23256, matrix nz_used = 23256, matrix nz_unneeded = 0
vector Row = 684
initial     || b ||_2 = 5.0000000000000000e+03
==== Initial L2 norm of residual
            || b ||_2 = 5.0000000000000000e+03
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00
Partitioning a graph of size 114 serially
      Setup: Max:   0.000, Sum:   0.002, Balance:   1.001
      Remap: Max:   0.000, Sum:   0.000, Balance:   2.000
      Total: Max:   0.005, Sum:   0.021, Balance:   1.000
       Aux1: Max:   0.000, Sum:   0.000, Balance:   1.073
Final  28-way Cut:    165 	Balance: 1.228 
==== Smoothed Aggregation-based Multigrid
>>>> samg setup time: 0.0349588 (s)
 53 KSP preconditioned resid norm 3.996831263714e-08 true resid norm 3.340491904807e+02 ||r(i)||/||b|| 6.680983809613e-02
 54 KSP preconditioned resid norm 3.730909807841e-08 true resid norm 3.893256187763e+02 ||r(i)||/||b|| 7.786512375527e-02
 55 KSP preconditioned resid norm 3.309050063397e-08 true resid norm 3.280557161385e+02 ||r(i)||/||b|| 6.561114322769e-02
 56 KSP preconditioned resid norm 2.544296565198e-08 true resid norm 2.897777826911e+02 ||r(i)||/||b|| 5.795555653822e-02
 57 KSP preconditioned resid norm 1.691842837801e-08 true resid norm 2.196557047660e+02 ||r(i)||/||b|| 4.393114095320e-02
 58 KSP preconditioned resid norm 1.692170579644e-08 true resid norm 2.301764426420e+02 ||r(i)||/||b|| 4.603528852840e-02
 59 KSP preconditioned resid norm 2.695966264149e-08 true resid norm 2.932038356877e+02 ||r(i)||/||b|| 5.864076713753e-02
 60 KSP preconditioned resid norm 3.472242437590e-08 true resid norm 3.614758715470e+02 ||r(i)||/||b|| 7.229517430940e-02
 61 KSP preconditioned resid norm 4.925234676369e-08 true resid norm 3.903735655835e+02 ||r(i)||/||b|| 7.807471311669e-02
 62 KSP preconditioned resid norm 2.422572349650e-08 true resid norm 3.204342677715e+02 ||r(i)||/||b|| 6.408685355431e-02
 63 KSP preconditioned resid norm 3.197766407463e-08 true resid norm 2.378754387505e+02 ||r(i)||/||b|| 4.757508775010e-02
 64 KSP preconditioned resid norm 1.833449068390e-08 true resid norm 1.515246701651e+02 ||r(i)||/||b|| 3.030493403303e-02
 65 KSP preconditioned resid norm 1.063125228569e-08 true resid norm 1.128862749773e+02 ||r(i)||/||b|| 2.257725499546e-02
 66 KSP preconditioned resid norm 1.158407940088e-08 true resid norm 1.007954083233e+02 ||r(i)||/||b|| 2.015908166467e-02
 67 KSP preconditioned resid norm 5.580619406536e-09 true resid norm 7.867878860006e+01 ||r(i)||/||b|| 1.573575772001e-02
 68 KSP preconditioned resid norm 5.837962244222e-09 true resid norm 5.188373714692e+01 ||r(i)||/||b|| 1.037674742938e-02
 69 KSP preconditioned resid norm 2.957620624490e-09 true resid norm 4.147403751997e+01 ||r(i)||/||b|| 8.294807503995e-03
 70 KSP preconditioned resid norm 3.776634650816e-09 true resid norm 2.628504462913e+01 ||r(i)||/||b|| 5.257008925825e-03
 71 KSP preconditioned resid norm 2.127813270217e-09 true resid norm 1.672587819137e+01 ||r(i)||/||b|| 3.345175638275e-03
 72 KSP preconditioned resid norm 5.910169871516e-10 true resid norm 9.781216820502e+00 ||r(i)||/||b|| 1.956243364100e-03
 73 KSP preconditioned resid norm 4.503493633294e-10 true resid norm 4.867093654561e+00 ||r(i)||/||b|| 9.734187309123e-04
 74 KSP preconditioned resid norm 2.299827597139e-10 true resid norm 2.831166460558e+00 ||r(i)||/||b|| 5.662332921116e-04
 75 KSP preconditioned resid norm 1.439092929058e-10 true resid norm 1.539273691490e+00 ||r(i)||/||b|| 3.078547382980e-04
 76 KSP preconditioned resid norm 9.496612530878e-11 true resid norm 1.028055879831e+00 ||r(i)||/||b|| 2.056111759662e-04
 77 KSP preconditioned resid norm 5.213966183207e-11 true resid norm 5.730713696304e-01 ||r(i)||/||b|| 1.146142739261e-04
 78 KSP preconditioned resid norm 4.119680120509e-11 true resid norm 3.425769747182e-01 ||r(i)||/||b|| 6.851539494363e-05
 79 KSP preconditioned resid norm 1.677088336479e-11 true resid norm 2.371529437284e-01 ||r(i)||/||b|| 4.743058874568e-05
 80 KSP preconditioned resid norm 1.669974866315e-11 true resid norm 1.572116640742e-01 ||r(i)||/||b|| 3.144233281484e-05
 81 KSP preconditioned resid norm 7.599977601903e-12 true resid norm 9.920835947363e-02 ||r(i)||/||b|| 1.984167189473e-05
 82 KSP preconditioned resid norm 7.193112277726e-12 true resid norm 7.099532561192e-02 ||r(i)||/||b|| 1.419906512238e-05
 83 KSP preconditioned resid norm 4.760783633578e-12 true resid norm 5.540523806138e-02 ||r(i)||/||b|| 1.108104761228e-05
 84 KSP preconditioned resid norm 3.249377036647e-12 true resid norm 3.848403449492e-02 ||r(i)||/||b|| 7.696806898985e-06
 85 KSP preconditioned resid norm 2.627919601529e-12 true resid norm 2.365526820351e-02 ||r(i)||/||b|| 4.731053640701e-06
 86 KSP preconditioned resid norm 1.018799648301e-12 true resid norm 1.126193607590e-02 ||r(i)||/||b|| 2.252387215179e-06
 87 KSP preconditioned resid norm 6.095564273173e-13 true resid norm 6.493304527646e-03 ||r(i)||/||b|| 1.298660905529e-06
 88 KSP preconditioned resid norm 3.650990953000e-13 true resid norm 3.548440502341e-03 ||r(i)||/||b|| 7.096881004682e-07
 89 KSP preconditioned resid norm 1.108459560023e-13 true resid norm 2.004842013663e-03 ||r(i)||/||b|| 4.009684027326e-07
>>>> ksp solve time: 0.00497246 (s)
            || b ||_2 = 5.0000000000000000e+03
|| r ||_2 / || b ||_2 = 4.0096843772579746e-07
