Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
in level 1:
in level 2:
in level 3:
nodes in level 3 (coarse) is 47, less than 100, setup done!
>>>> setup time: 0.812107 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.3754996598289608e+00
2 MLA ||r(i)||/||b|| 9.3062335444077426e+00
3 MLA ||r(i)||/||b|| 6.7144890534354129e+00
4 MLA ||r(i)||/||b|| 6.4275431602188409e+00
5 MLA ||r(i)||/||b|| 6.2336827234114338e+00
6 MLA ||r(i)||/||b|| 5.9379490149481544e+00
7 MLA ||r(i)||/||b|| 5.5221229306107942e+00
8 MLA ||r(i)||/||b|| 4.9946895422495778e+00
9 MLA ||r(i)||/||b|| 4.4364966402381061e+00
10 MLA ||r(i)||/||b|| 3.9470003151919304e+00
11 MLA ||r(i)||/||b|| 3.5771096059239840e+00
12 MLA ||r(i)||/||b|| 3.3129728115900638e+00
13 MLA ||r(i)||/||b|| 3.1085215173239376e+00
14 MLA ||r(i)||/||b|| 2.9249547695381257e+00
15 MLA ||r(i)||/||b|| 2.7468001827387418e+00
16 MLA ||r(i)||/||b|| 2.5775968022903988e+00
17 MLA ||r(i)||/||b|| 2.4288987547204459e+00
18 MLA ||r(i)||/||b|| 2.3107068019358321e+00
19 MLA ||r(i)||/||b|| 2.2261805511392541e+00
20 MLA ||r(i)||/||b|| 2.1710348530135750e+00
21 MLA ||r(i)||/||b|| 2.1362874640314673e+00
22 MLA ||r(i)||/||b|| 2.1119473136837890e+00
23 MLA ||r(i)||/||b|| 2.0896900596136270e+00
24 MLA ||r(i)||/||b|| 2.0639438432027335e+00
25 MLA ||r(i)||/||b|| 2.0317964003612374e+00
26 MLA ||r(i)||/||b|| 1.9923551080529918e+00
27 MLA ||r(i)||/||b|| 1.9460104370730180e+00
28 MLA ||r(i)||/||b|| 1.8938232107336035e+00
29 MLA ||r(i)||/||b|| 1.8371008747625650e+00
30 MLA ||r(i)||/||b|| 1.7771481115176866e+00
31 MLA ||r(i)||/||b|| 1.7151460825129377e+00
32 MLA ||r(i)||/||b|| 1.6521109131115153e+00
33 MLA ||r(i)||/||b|| 1.5888918386626050e+00
34 MLA ||r(i)||/||b|| 1.5261837337234496e+00
35 MLA ||r(i)||/||b|| 1.4645417170483404e+00
36 MLA ||r(i)||/||b|| 1.4043943921031483e+00
37 MLA ||r(i)||/||b|| 1.3460565431803453e+00
38 MLA ||r(i)||/||b|| 1.2897429212503833e+00
39 MLA ||r(i)||/||b|| 1.2355838091924551e+00
40 MLA ||r(i)||/||b|| 1.1836418057595781e+00
41 MLA ||r(i)||/||b|| 1.1339285425472658e+00
42 MLA ||r(i)||/||b|| 1.0864200192403437e+00
43 MLA ||r(i)||/||b|| 1.0410697092467927e+00
44 MLA ||r(i)||/||b|| 9.9781916962117623e-01
45 MLA ||r(i)||/||b|| 9.5660634927364929e-01
46 MLA ||r(i)||/||b|| 9.1737196666961651e-01
47 MLA ||r(i)||/||b|| 8.8006430796563639e-01
48 MLA ||r(i)||/||b|| 8.4464261866848289e-01
49 MLA ||r(i)||/||b|| 8.1107910168917507e-01
50 MLA ||r(i)||/||b|| 7.7935941797969466e-01
51 MLA ||r(i)||/||b|| 7.4948157593295905e-01
52 MLA ||r(i)||/||b|| 7.2145317575193424e-01
53 MLA ||r(i)||/||b|| 6.9528711842270663e-01
54 MLA ||r(i)||/||b|| 6.7099606323851868e-01
55 MLA ||r(i)||/||b|| 6.4858609671976764e-01
56 MLA ||r(i)||/||b|| 6.2805021545703410e-01
57 MLA ||r(i)||/||b|| 6.0936231436059884e-01
58 MLA ||r(i)||/||b|| 5.9247237725825730e-01
59 MLA ||r(i)||/||b|| 5.7730346626603701e-01
60 MLA ||r(i)||/||b|| 5.6375091529982579e-01
61 MLA ||r(i)||/||b|| 5.5168386544591352e-01
62 MLA ||r(i)||/||b|| 5.4094898036678274e-01
63 MLA ||r(i)||/||b|| 5.3137591712025389e-01
64 MLA ||r(i)||/||b|| 5.2278393853352578e-01
65 MLA ||r(i)||/||b|| 5.1498898633141721e-01
66 MLA ||r(i)||/||b|| 5.0781056879491704e-01
67 MLA ||r(i)||/||b|| 5.0107794173635600e-01
68 MLA ||r(i)||/||b|| 4.9463523732566006e-01
69 MLA ||r(i)||/||b|| 4.8834535950559155e-01
70 MLA ||r(i)||/||b|| 4.8209261948743137e-01
71 MLA ||r(i)||/||b|| 4.7578418839334929e-01
72 MLA ||r(i)||/||b|| 4.6935050212950230e-01
73 MLA ||r(i)||/||b|| 4.6274478371964300e-01
74 MLA ||r(i)||/||b|| 4.5594184171171176e-01
75 MLA ||r(i)||/||b|| 4.4893628833434462e-01
76 MLA ||r(i)||/||b|| 4.4174029952657484e-01
77 MLA ||r(i)||/||b|| 4.3438101502689380e-01
78 MLA ||r(i)||/||b|| 4.2689766484078212e-01
79 MLA ||r(i)||/||b|| 4.1933850033994718e-01
80 MLA ||r(i)||/||b|| 4.1175760601791395e-01
81 MLA ||r(i)||/||b|| 4.0421168095912724e-01
82 MLA ||r(i)||/||b|| 3.9675688526333475e-01
83 MLA ||r(i)||/||b|| 3.8944586312993490e-01
84 MLA ||r(i)||/||b|| 3.8232506237101210e-01
85 MLA ||r(i)||/||b|| 3.7543247344494263e-01
86 MLA ||r(i)||/||b|| 3.6879590112341870e-01
87 MLA ||r(i)||/||b|| 3.6243186236397784e-01
88 MLA ||r(i)||/||b|| 3.5634516716638903e-01
89 MLA ||r(i)||/||b|| 3.5052919317158865e-01
90 MLA ||r(i)||/||b|| 3.4496681986649202e-01
91 MLA ||r(i)||/||b|| 3.3963193012140608e-01
92 MLA ||r(i)||/||b|| 3.3449135479635539e-01
93 MLA ||r(i)||/||b|| 3.2950710406960748e-01
94 MLA ||r(i)||/||b|| 3.2463872361403623e-01
95 MLA ||r(i)||/||b|| 3.1984561625081681e-01
96 MLA ||r(i)||/||b|| 3.1508919341788816e-01
97 MLA ||r(i)||/||b|| 3.1033474963471136e-01
98 MLA ||r(i)||/||b|| 3.0555298772304174e-01
99 MLA ||r(i)||/||b|| 3.0072115369935348e-01
100 MLA ||r(i)||/||b|| 2.9582377224768641e-01
101 MLA ||r(i)||/||b|| 2.9085299715250179e-01
102 MLA ||r(i)||/||b|| 2.8580860592923679e-01
103 MLA ||r(i)||/||b|| 2.8069768032866699e-01
104 MLA ||r(i)||/||b|| 2.7553402231680402e-01
105 MLA ||r(i)||/||b|| 2.7033735182993840e-01
106 MLA ||r(i)||/||b|| 2.6513233737513381e-01
107 MLA ||r(i)||/||b|| 2.5994750361659491e-01
108 MLA ||r(i)||/||b|| 2.5481406175511673e-01
109 MLA ||r(i)||/||b|| 2.4976470052259886e-01
110 MLA ||r(i)||/||b|| 2.4483237960267745e-01
111 MLA ||r(i)||/||b|| 2.4004915845249597e-01
112 MLA ||r(i)||/||b|| 2.3544509999107485e-01
113 MLA ||r(i)||/||b|| 2.3104728090025711e-01
114 MLA ||r(i)||/||b|| 2.2687894011334789e-01
115 MLA ||r(i)||/||b|| 2.2295879638625263e-01
116 MLA ||r(i)||/||b|| 2.1930055539655399e-01
117 MLA ||r(i)||/||b|| 2.1591262521845320e-01
118 MLA ||r(i)||/||b|| 2.1279804308425082e-01
119 MLA ||r(i)||/||b|| 2.0995461169462529e-01
120 MLA ||r(i)||/||b|| 2.0737522598745936e-01
121 MLA ||r(i)||/||b|| 2.0504836578176533e-01
122 MLA ||r(i)||/||b|| 2.0295871719393366e-01
123 MLA ||r(i)||/||b|| 2.0108788197534808e-01
124 MLA ||r(i)||/||b|| 1.9941513198640770e-01
125 MLA ||r(i)||/||b|| 1.9791816841533447e-01
126 MLA ||r(i)||/||b|| 1.9657384766792757e-01
127 MLA ||r(i)||/||b|| 1.9535884715727431e-01
128 MLA ||r(i)||/||b|| 1.9425024745662833e-01
129 MLA ||r(i)||/||b|| 1.9322602184807028e-01
130 MLA ||r(i)||/||b|| 1.9226542346924080e-01
131 MLA ||r(i)||/||b|| 1.9134927754065509e-01
132 MLA ||r(i)||/||b|| 1.9046017940249796e-01
133 MLA ||r(i)||/||b|| 1.8958261146880886e-01
134 MLA ||r(i)||/||b|| 1.8870298906092522e-01
135 MLA ||r(i)||/||b|| 1.8780964875287631e-01
136 MLA ||r(i)||/||b|| 1.8689278806398971e-01
137 MLA ||r(i)||/||b|| 1.8594437182134171e-01
138 MLA ||r(i)||/||b|| 1.8495801176096807e-01
139 MLA ||r(i)||/||b|| 1.8392882935515428e-01
140 MLA ||r(i)||/||b|| 1.8285330982682127e-01
141 MLA ||r(i)||/||b|| 1.8172915151395561e-01
142 MLA ||r(i)||/||b|| 1.8055511609738459e-01
143 MLA ||r(i)||/||b|| 1.7933088496339381e-01
144 MLA ||r(i)||/||b|| 1.7805691999112191e-01
145 MLA ||r(i)||/||b|| 1.7673433597117871e-01
146 MLA ||r(i)||/||b|| 1.7536478201206529e-01
147 MLA ||r(i)||/||b|| 1.7395033363915582e-01
148 MLA ||r(i)||/||b|| 1.7249339700132707e-01
149 MLA ||r(i)||/||b|| 1.7099662380395267e-01
150 MLA ||r(i)||/||b|| 1.6946283718852259e-01
151 MLA ||r(i)||/||b|| 1.6789496805458223e-01
152 MLA ||r(i)||/||b|| 1.6629600066949532e-01
153 MLA ||r(i)||/||b|| 1.6466892802498090e-01
154 MLA ||r(i)||/||b|| 1.6301671492339501e-01
155 MLA ||r(i)||/||b|| 1.6134226837982626e-01
156 MLA ||r(i)||/||b|| 1.5964841443124045e-01
157 MLA ||r(i)||/||b|| 1.5793788084389593e-01
158 MLA ||r(i)||/||b|| 1.5621328418711697e-01
159 MLA ||r(i)||/||b|| 1.5447712137793829e-01
160 MLA ||r(i)||/||b|| 1.5273176464757543e-01
161 MLA ||r(i)||/||b|| 1.5097945805964993e-01
162 MLA ||r(i)||/||b|| 1.4922231762864874e-01
163 MLA ||r(i)||/||b|| 1.4746233200849049e-01
164 MLA ||r(i)||/||b|| 1.4570136470606487e-01
165 MLA ||r(i)||/||b|| 1.4394115715681305e-01
