Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
in level 1:
in level 2:
in level 3:
nodes in level 3 (coarse) is 47, less than 100, setup done!
>>>> setup time: 0.947972 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.3463580647212150e+00
2 MLA ||r(i)||/||b|| 1.4398364266593500e+00
3 MLA ||r(i)||/||b|| 4.3080556079446728e+00
4 MLA ||r(i)||/||b|| 6.9600515072377878e+00
5 MLA ||r(i)||/||b|| 7.1487782459131637e+00
6 MLA ||r(i)||/||b|| 7.0910717262758771e+00
7 MLA ||r(i)||/||b|| 6.7162002143437691e+00
8 MLA ||r(i)||/||b|| 6.0578812096867098e+00
9 MLA ||r(i)||/||b|| 5.2416904171739898e+00
10 MLA ||r(i)||/||b|| 4.5235241936299690e+00
11 MLA ||r(i)||/||b|| 4.0953016357971128e+00
12 MLA ||r(i)||/||b|| 3.9065229967506334e+00
13 MLA ||r(i)||/||b|| 3.7717557313171639e+00
14 MLA ||r(i)||/||b|| 3.5778231043777700e+00
15 MLA ||r(i)||/||b|| 3.3319562151891033e+00
16 MLA ||r(i)||/||b|| 3.1025646339449824e+00
17 MLA ||r(i)||/||b|| 2.9486275244236686e+00
18 MLA ||r(i)||/||b|| 2.8779993641598889e+00
19 MLA ||r(i)||/||b|| 2.8543742625926796e+00
20 MLA ||r(i)||/||b|| 2.8325080551152633e+00
21 MLA ||r(i)||/||b|| 2.7830666496981400e+00
22 MLA ||r(i)||/||b|| 2.6964293789105684e+00
23 MLA ||r(i)||/||b|| 2.5761128633621810e+00
24 MLA ||r(i)||/||b|| 2.4313231239881490e+00
25 MLA ||r(i)||/||b|| 2.2720552073889135e+00
26 MLA ||r(i)||/||b|| 2.1068438850711924e+00
27 MLA ||r(i)||/||b|| 1.9422173942051306e+00
28 MLA ||r(i)||/||b|| 1.7828887531799238e+00
29 MLA ||r(i)||/||b|| 1.6321505024076710e+00
30 MLA ||r(i)||/||b|| 1.4918602283560478e+00
31 MLA ||r(i)||/||b|| 1.3629747942725063e+00
32 MLA ||r(i)||/||b|| 1.2455600462720282e+00
33 MLA ||r(i)||/||b|| 1.1390554158684587e+00
34 MLA ||r(i)||/||b|| 1.0425531851937335e+00
35 MLA ||r(i)||/||b|| 9.5505190170696708e-01
36 MLA ||r(i)||/||b|| 8.7563164228607149e-01
37 MLA ||r(i)||/||b|| 8.0353017296676010e-01
38 MLA ||r(i)||/||b|| 7.3813995482123596e-01
39 MLA ||r(i)||/||b|| 6.7896074264243378e-01
40 MLA ||r(i)||/||b|| 6.2554404378455541e-01
41 MLA ||r(i)||/||b|| 5.7745085855340517e-01
42 MLA ||r(i)||/||b|| 5.3423187147152129e-01
43 MLA ||r(i)||/||b|| 4.9542728614750448e-01
44 MLA ||r(i)||/||b|| 4.6057818425881386e-01
45 MLA ||r(i)||/||b|| 4.2924236454134240e-01
46 MLA ||r(i)||/||b|| 4.0100650249033920e-01
47 MLA ||r(i)||/||b|| 3.7549755497465737e-01
48 MLA ||r(i)||/||b|| 3.5238469959482310e-01
49 MLA ||r(i)||/||b|| 3.3138023548268514e-01
