Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.930815 (s)
96 MLA ||r(i)||/||b|| 5.5834708041514105e-03
97 MLA ||r(i)||/||b|| 5.1054975729394507e-03
98 MLA ||r(i)||/||b|| 4.6691885318119984e-03
99 MLA ||r(i)||/||b|| 4.2708605279402024e-03
100 MLA ||r(i)||/||b|| 3.9071594558608520e-03
101 MLA ||r(i)||/||b|| 3.5750305006398129e-03
102 MLA ||r(i)||/||b|| 3.2716909640298536e-03
103 MLA ||r(i)||/||b|| 2.9946063625760602e-03
104 MLA ||r(i)||/||b|| 2.7414678671399935e-03
105 MLA ||r(i)||/||b|| 2.5101719604747291e-03
106 MLA ||r(i)||/||b|| 2.2988022232518666e-03
107 MLA ||r(i)||/||b|| 2.1056123474172514e-03
108 MLA ||r(i)||/||b|| 1.9290113263669268e-03
109 MLA ||r(i)||/||b|| 1.7675491017127732e-03
110 MLA ||r(i)||/||b|| 1.6199041210526544e-03
111 MLA ||r(i)||/||b|| 1.4848719159808767e-03
112 MLA ||r(i)||/||b|| 1.3613543097344514e-03
113 MLA ||r(i)||/||b|| 1.2483502751076134e-03
114 MLA ||r(i)||/||b|| 1.1449472842855026e-03
115 MLA ||r(i)||/||b|| 1.0503130364945515e-03
116 MLA ||r(i)||/||b|| 9.6368853275336549e-04
117 MLA ||r(i)||/||b|| 8.8438178830927143e-04
118 MLA ||r(i)||/||b|| 8.1176143154290030e-04
119 MLA ||r(i)||/||b|| 7.4525166305968967e-04
120 MLA ||r(i)||/||b|| 6.8432688180544514e-04
121 MLA ||r(i)||/||b|| 6.2850779800628653e-04
122 MLA ||r(i)||/||b|| 5.7735688990198447e-04
123 MLA ||r(i)||/||b|| 5.3047484173353548e-04
124 MLA ||r(i)||/||b|| 4.8749709005283215e-04
125 MLA ||r(i)||/||b|| 4.4809085010682538e-04
126 MLA ||r(i)||/||b|| 4.1195231159729846e-04
127 MLA ||r(i)||/||b|| 3.7880396686755633e-04
