Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.799056 (s)
96 MLA ||r(i)||/||b|| 3.2209978260124345e-01
97 MLA ||r(i)||/||b|| 3.0923521180225688e-01
98 MLA ||r(i)||/||b|| 2.9689006416154318e-01
99 MLA ||r(i)||/||b|| 2.8504320091182017e-01
100 MLA ||r(i)||/||b|| 2.7367434980309197e-01
101 MLA ||r(i)||/||b|| 2.6276406666324409e-01
102 MLA ||r(i)||/||b|| 2.5229370333464207e-01
103 MLA ||r(i)||/||b|| 2.4224537394678283e-01
104 MLA ||r(i)||/||b|| 2.3260192398720386e-01
105 MLA ||r(i)||/||b|| 2.2334689963289495e-01
106 MLA ||r(i)||/||b|| 2.1446451954357368e-01
107 MLA ||r(i)||/||b|| 2.0593964672614423e-01
108 MLA ||r(i)||/||b|| 1.9775776277749860e-01
109 MLA ||r(i)||/||b|| 1.8990494180916767e-01
110 MLA ||r(i)||/||b|| 1.8236782634369178e-01
111 MLA ||r(i)||/||b|| 1.7513360504685133e-01
112 MLA ||r(i)||/||b|| 1.6818998804346724e-01
113 MLA ||r(i)||/||b|| 1.6152518876668498e-01
114 MLA ||r(i)||/||b|| 1.5512789986724815e-01
115 MLA ||r(i)||/||b|| 1.4898727639754916e-01
116 MLA ||r(i)||/||b|| 1.4309291556586923e-01
117 MLA ||r(i)||/||b|| 1.3743483875115689e-01
118 MLA ||r(i)||/||b|| 1.3200347439667276e-01
119 MLA ||r(i)||/||b|| 1.2678964149483424e-01
120 MLA ||r(i)||/||b|| 1.2178453306966795e-01
121 MLA ||r(i)||/||b|| 1.1697970167034885e-01
122 MLA ||r(i)||/||b|| 1.1236704394467874e-01
123 MLA ||r(i)||/||b|| 1.0793878668940017e-01
124 MLA ||r(i)||/||b|| 1.0368747378995032e-01
125 MLA ||r(i)||/||b|| 9.9605952979459331e-02
126 MLA ||r(i)||/||b|| 9.5687363126786454e-02
127 MLA ||r(i)||/||b|| 9.1925123043873402e-02
128 MLA ||r(i)||/||b|| 8.8312918950823702e-02
129 MLA ||r(i)||/||b|| 8.4844695043792703e-02
130 MLA ||r(i)||/||b|| 8.1514642001932397e-02
131 MLA ||r(i)||/||b|| 7.8317186259299412e-02
132 MLA ||r(i)||/||b|| 7.5246981521387493e-02
133 MLA ||r(i)||/||b|| 7.2298899874965239e-02
134 MLA ||r(i)||/||b|| 6.9468020617363069e-02
135 MLA ||r(i)||/||b|| 6.6749624470863536e-02
136 MLA ||r(i)||/||b|| 6.4139183266698319e-02
137 MLA ||r(i)||/||b|| 6.1632353445474561e-02
138 MLA ||r(i)||/||b|| 5.9224967920685281e-02
139 MLA ||r(i)||/||b|| 5.6913028846073702e-02
140 MLA ||r(i)||/||b|| 5.4692700920673888e-02
141 MLA ||r(i)||/||b|| 5.2560304511329634e-02
142 MLA ||r(i)||/||b|| 5.0512309527046440e-02
143 MLA ||r(i)||/||b|| 4.8545329202219697e-02
144 MLA ||r(i)||/||b|| 4.6656114010305068e-02
145 MLA ||r(i)||/||b|| 4.4841546873614239e-02
146 MLA ||r(i)||/||b|| 4.3098636333246974e-02
147 MLA ||r(i)||/||b|| 4.1424512702921946e-02
148 MLA ||r(i)||/||b|| 3.9816422385624668e-02
149 MLA ||r(i)||/||b|| 3.8271723720343265e-02
150 MLA ||r(i)||/||b|| 3.6787881400884466e-02
151 MLA ||r(i)||/||b|| 3.5362463593088089e-02
152 MLA ||r(i)||/||b|| 3.3993136112028484e-02
153 MLA ||r(i)||/||b|| 3.2677659745267700e-02
154 MLA ||r(i)||/||b|| 3.1413885741012539e-02
155 MLA ||r(i)||/||b|| 3.0199751707432509e-02
156 MLA ||r(i)||/||b|| 2.9033279270145939e-02
157 MLA ||r(i)||/||b|| 2.7912569553138089e-02
158 MLA ||r(i)||/||b|| 2.6835800466786137e-02
159 MLA ||r(i)||/||b|| 2.5801223535764740e-02
160 MLA ||r(i)||/||b|| 2.4807160534843574e-02
161 MLA ||r(i)||/||b|| 2.3852001394745651e-02
162 MLA ||r(i)||/||b|| 2.2934200357302533e-02
163 MLA ||r(i)||/||b|| 2.2052274040405828e-02
164 MLA ||r(i)||/||b|| 2.1204799369291635e-02
165 MLA ||r(i)||/||b|| 2.0390409831067418e-02
166 MLA ||r(i)||/||b|| 1.9607794059605565e-02
167 MLA ||r(i)||/||b|| 1.8855693664541373e-02
168 MLA ||r(i)||/||b|| 1.8132900352138787e-02
169 MLA ||r(i)||/||b|| 1.7438255065514434e-02
170 MLA ||r(i)||/||b|| 1.6770644438971524e-02
171 MLA ||r(i)||/||b|| 1.6129000388914554e-02
172 MLA ||r(i)||/||b|| 1.5512297260834909e-02
173 MLA ||r(i)||/||b|| 1.4919550774751300e-02
174 MLA ||r(i)||/||b|| 1.4349815984449175e-02
175 MLA ||r(i)||/||b|| 1.3802185634875626e-02
176 MLA ||r(i)||/||b|| 1.3275789114559677e-02
177 MLA ||r(i)||/||b|| 1.2769790129143595e-02
178 MLA ||r(i)||/||b|| 1.2283386358460017e-02
179 MLA ||r(i)||/||b|| 1.1815807129729817e-02
180 MLA ||r(i)||/||b|| 1.1366312497905111e-02
181 MLA ||r(i)||/||b|| 1.0934192467324808e-02
182 MLA ||r(i)||/||b|| 1.0518764657024620e-02
183 MLA ||r(i)||/||b|| 1.0119374531508166e-02
184 MLA ||r(i)||/||b|| 9.7353932027115699e-03
185 MLA ||r(i)||/||b|| 9.3662171448059706e-03
186 MLA ||r(i)||/||b|| 9.0112664579775417e-03
187 MLA ||r(i)||/||b|| 8.6699849399992004e-03
188 MLA ||r(i)||/||b|| 8.3418375888537170e-03
189 MLA ||r(i)||/||b|| 8.0263112238050105e-03
190 MLA ||r(i)||/||b|| 7.7229130676656895e-03
191 MLA ||r(i)||/||b|| 7.4311694960383732e-03
192 MLA ||r(i)||/||b|| 7.1506261568809390e-03
193 MLA ||r(i)||/||b|| 6.8808461761477851e-03
194 MLA ||r(i)||/||b|| 6.6214103430529301e-03
195 MLA ||r(i)||/||b|| 6.3719157367509924e-03
196 MLA ||r(i)||/||b|| 6.1319755973619485e-03
197 MLA ||r(i)||/||b|| 5.9012184130662068e-03
198 MLA ||r(i)||/||b|| 5.6792872440103778e-03
199 MLA ||r(i)||/||b|| 5.4658394346927880e-03
200 MLA ||r(i)||/||b|| 5.2605455346509955e-03
201 MLA ||r(i)||/||b|| 5.0630891858909448e-03
202 MLA ||r(i)||/||b|| 4.8731666698996470e-03
203 MLA ||r(i)||/||b|| 4.6904861017159731e-03
204 MLA ||r(i)||/||b|| 4.5147669205023071e-03
205 MLA ||r(i)||/||b|| 4.3457400932964459e-03
206 MLA ||r(i)||/||b|| 4.1831463534983092e-03
207 MLA ||r(i)||/||b|| 4.0267374539285500e-03
208 MLA ||r(i)||/||b|| 3.8762743370610955e-03
209 MLA ||r(i)||/||b|| 3.7315274506712929e-03
210 MLA ||r(i)||/||b|| 3.5922763352903434e-03
211 MLA ||r(i)||/||b|| 3.4583091262453689e-03
212 MLA ||r(i)||/||b|| 3.3294220247664669e-03
213 MLA ||r(i)||/||b|| 3.2054196134387097e-03
214 MLA ||r(i)||/||b|| 3.0861138548465444e-03
215 MLA ||r(i)||/||b|| 2.9713239959692737e-03
216 MLA ||r(i)||/||b|| 2.8608765433270852e-03
217 MLA ||r(i)||/||b|| 2.7546048057675411e-03
218 MLA ||r(i)||/||b|| 2.6523482887148451e-03
219 MLA ||r(i)||/||b|| 2.5539530203029107e-03
220 MLA ||r(i)||/||b|| 2.4592708368772402e-03
221 MLA ||r(i)||/||b|| 2.3681595268821363e-03
222 MLA ||r(i)||/||b|| 2.2804823907299192e-03
223 MLA ||r(i)||/||b|| 2.1961077328547171e-03
224 MLA ||r(i)||/||b|| 2.1149094948392133e-03
225 MLA ||r(i)||/||b|| 2.0367660480471966e-03
226 MLA ||r(i)||/||b|| 1.9615609354208204e-03
227 MLA ||r(i)||/||b|| 1.8891815812080008e-03
228 MLA ||r(i)||/||b|| 1.8195203974054617e-03
229 MLA ||r(i)||/||b|| 1.7524735178854475e-03
230 MLA ||r(i)||/||b|| 1.6879414711817877e-03
231 MLA ||r(i)||/||b|| 1.6258283797347555e-03
232 MLA ||r(i)||/||b|| 1.5660420430079708e-03
233 MLA ||r(i)||/||b|| 1.5084939421131918e-03
234 MLA ||r(i)||/||b|| 1.4530988941100322e-03
235 MLA ||r(i)||/||b|| 1.3997753692093628e-03
236 MLA ||r(i)||/||b|| 1.3484444929690658e-03
237 MLA ||r(i)||/||b|| 1.2990305962492976e-03
238 MLA ||r(i)||/||b|| 1.2514608557973558e-03
239 MLA ||r(i)||/||b|| 1.2056655289919547e-03
240 MLA ||r(i)||/||b|| 1.1615772612547494e-03
241 MLA ||r(i)||/||b|| 1.1191312974093226e-03
242 MLA ||r(i)||/||b|| 1.0782657950292342e-03
243 MLA ||r(i)||/||b|| 1.0389208172425428e-03
244 MLA ||r(i)||/||b|| 1.0010384842981377e-03
245 MLA ||r(i)||/||b|| 9.6456412634227692e-04
246 MLA ||r(i)||/||b|| 9.2944404158927735e-04
247 MLA ||r(i)||/||b|| 8.9562752311410170e-04
248 MLA ||r(i)||/||b|| 8.6306521009049664e-04
249 MLA ||r(i)||/||b|| 8.3170983061050120e-04
250 MLA ||r(i)||/||b|| 8.0151585831002639e-04
251 MLA ||r(i)||/||b|| 7.7243969490278536e-04
252 MLA ||r(i)||/||b|| 7.4443917333735495e-04
253 MLA ||r(i)||/||b|| 7.1747381951041021e-04
254 MLA ||r(i)||/||b|| 6.9150487126618356e-04
255 MLA ||r(i)||/||b|| 6.6649454802524726e-04
256 MLA ||r(i)||/||b|| 6.4240712997426291e-04
257 MLA ||r(i)||/||b|| 6.1920801967702325e-04
258 MLA ||r(i)||/||b|| 5.9686370016308115e-04
259 MLA ||r(i)||/||b|| 5.7534216793297868e-04
260 MLA ||r(i)||/||b|| 5.5461286369009840e-04
261 MLA ||r(i)||/||b|| 5.3464575643720881e-04
262 MLA ||r(i)||/||b|| 5.1541259554693656e-04
263 MLA ||r(i)||/||b|| 4.9688575254694454e-04
264 MLA ||r(i)||/||b|| 4.7903890082669453e-04
265 MLA ||r(i)||/||b|| 4.6184663866799639e-04
266 MLA ||r(i)||/||b|| 4.4528454933570594e-04
267 MLA ||r(i)||/||b|| 4.2932907017946038e-04
268 MLA ||r(i)||/||b|| 4.1395761828324704e-04
269 MLA ||r(i)||/||b|| 3.9914858522137466e-04
270 MLA ||r(i)||/||b|| 3.8488069128103246e-04
271 MLA ||r(i)||/||b|| 3.7113407673020022e-04
272 MLA ||r(i)||/||b|| 3.5788920628647175e-04
273 MLA ||r(i)||/||b|| 3.4512756222490062e-04
274 MLA ||r(i)||/||b|| 3.3283094744131924e-04
275 MLA ||r(i)||/||b|| 3.2098227058585492e-04
276 MLA ||r(i)||/||b|| 3.0956499833055518e-04
277 MLA ||r(i)||/||b|| 2.9856285526585433e-04
278 MLA ||r(i)||/||b|| 2.8796052961841317e-04
279 MLA ||r(i)||/||b|| 2.7774353582623717e-04
280 MLA ||r(i)||/||b|| 2.6789729637197342e-04
281 MLA ||r(i)||/||b|| 2.5840805801568081e-04
282 MLA ||r(i)||/||b|| 2.4926279809940702e-04
283 MLA ||r(i)||/||b|| 2.4044876308918994e-04
284 MLA ||r(i)||/||b|| 2.3195357572686036e-04
285 MLA ||r(i)||/||b|| 2.2376572950197240e-04
286 MLA ||r(i)||/||b|| 2.1587359784141198e-04
287 MLA ||r(i)||/||b|| 2.0826646616931260e-04
288 MLA ||r(i)||/||b|| 2.0093379312211961e-04
289 MLA ||r(i)||/||b|| 1.9386547245744222e-04
290 MLA ||r(i)||/||b|| 1.8705180051422154e-04
291 MLA ||r(i)||/||b|| 1.8048332167540441e-04
292 MLA ||r(i)||/||b|| 1.7415126385457325e-04
293 MLA ||r(i)||/||b|| 1.6804665261379093e-04
294 MLA ||r(i)||/||b|| 1.6216143006864714e-04
295 MLA ||r(i)||/||b|| 1.5648727843896128e-04
