Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>

 43 KSP unpreconditioned resid norm 4.691538464621e-01 true resid norm 4.691538464567e-01 ||r(i)||/||b|| 1.286876457177e+00
 44 KSP unpreconditioned resid norm 4.251837370770e-01 true resid norm 4.251837370717e-01 ||r(i)||/||b|| 1.166267622752e+00
 45 KSP unpreconditioned resid norm 3.227914799143e-01 true resid norm 3.227914799090e-01 ||r(i)||/||b|| 8.854083989919e-01
 46 KSP unpreconditioned resid norm 2.949286919059e-01 true resid norm 2.949286919034e-01 ||r(i)||/||b|| 8.089815164530e-01
 47 KSP unpreconditioned resid norm 2.976399371227e-01 true resid norm 2.976399371273e-01 ||r(i)||/||b|| 8.164183896123e-01
 48 KSP unpreconditioned resid norm 3.311562442317e-01 true resid norm 3.311562442348e-01 ||r(i)||/||b|| 9.083527238907e-01
 49 KSP unpreconditioned resid norm 2.761755851297e-01 true resid norm 2.761755851332e-01 ||r(i)||/||b|| 7.575422459797e-01
 50 KSP unpreconditioned resid norm 2.564546288700e-01 true resid norm 2.564546288782e-01 ||r(i)||/||b|| 7.034481902467e-01
 51 KSP unpreconditioned resid norm 2.281198206719e-01 true resid norm 2.281198206789e-01 ||r(i)||/||b|| 6.257265689372e-01
 52 KSP unpreconditioned resid norm 2.257192620673e-01 true resid norm 2.257192620774e-01 ||r(i)||/||b|| 6.191419008764e-01
 53 KSP unpreconditioned resid norm 2.257669487222e-01 true resid norm 2.257669487293e-01 ||r(i)||/||b|| 6.192727040875e-01
 54 KSP unpreconditioned resid norm 2.224267188217e-01 true resid norm 2.224267188290e-01 ||r(i)||/||b|| 6.101105427781e-01
 55 KSP unpreconditioned resid norm 2.228563877112e-01 true resid norm 2.228563877154e-01 ||r(i)||/||b|| 6.112891130455e-01
 56 KSP unpreconditioned resid norm 2.152641230644e-01 true resid norm 2.152641230729e-01 ||r(i)||/||b|| 5.904637341237e-01
 57 KSP unpreconditioned resid norm 2.003580338269e-01 true resid norm 2.003580338316e-01 ||r(i)||/||b|| 5.495767298752e-01
 58 KSP unpreconditioned resid norm 1.902634679924e-01 true resid norm 1.902634679991e-01 ||r(i)||/||b|| 5.218876056927e-01
 59 KSP unpreconditioned resid norm 1.714417792945e-01 true resid norm 1.714417792957e-01 ||r(i)||/||b|| 4.702602168103e-01
 60 KSP unpreconditioned resid norm 1.589054960762e-01 true resid norm 1.589054960779e-01 ||r(i)||/||b|| 4.358735271235e-01
 61 KSP unpreconditioned resid norm 1.497902611982e-01 true resid norm 1.497902611936e-01 ||r(i)||/||b|| 4.108706815478e-01
 62 KSP unpreconditioned resid norm 1.496847673783e-01 true resid norm 1.496847673748e-01 ||r(i)||/||b|| 4.105813148232e-01
 63 KSP unpreconditioned resid norm 1.481664269547e-01 true resid norm 1.481664269539e-01 ||r(i)||/||b|| 4.064165476442e-01
 64 KSP unpreconditioned resid norm 1.520227014846e-01 true resid norm 1.520227014849e-01 ||r(i)||/||b|| 4.169942055784e-01
 65 KSP unpreconditioned resid norm 1.586425944084e-01 true resid norm 1.586425944068e-01 ||r(i)||/||b|| 4.351523948686e-01
 66 KSP unpreconditioned resid norm 1.546438453494e-01 true resid norm 1.546438453504e-01 ||r(i)||/||b|| 4.241839331207e-01
 67 KSP unpreconditioned resid norm 1.514494881715e-01 true resid norm 1.514494881693e-01 ||r(i)||/||b|| 4.154218967797e-01
 68 KSP unpreconditioned resid norm 1.562842807143e-01 true resid norm 1.562842807184e-01 ||r(i)||/||b|| 4.286836034751e-01
 69 KSP unpreconditioned resid norm 1.516647961749e-01 true resid norm 1.516647961818e-01 ||r(i)||/||b|| 4.160124809014e-01
 70 KSP unpreconditioned resid norm 1.378616185779e-01 true resid norm 1.378616185818e-01 ||r(i)||/||b|| 3.781507337968e-01
 71 KSP unpreconditioned resid norm 1.375925946824e-01 true resid norm 1.375925946851e-01 ||r(i)||/||b|| 3.774128084409e-01
 72 KSP unpreconditioned resid norm 1.331012775997e-01 true resid norm 1.331012775970e-01 ||r(i)||/||b|| 3.650932457514e-01
