Config file: ../input/config/mla_v_cycle-refine0.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 1506, matrix Column = 1506
matrix nz_allocated = 27747, matrix nz_used = 27747, matrix nz_unneeded = 0
vector Row = 1506
initial     || b ||_2 = 2.6501139470351753e+00
>>>>local_vec_size = 1506
>>>>~~~~ local_mat_m = 1506, local_mat_n = 1506
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 0 is 62, less than 100, setup DONE!>>>>

 43 KSP unpreconditioned resid norm 5.365058417907e-05 true resid norm 5.365060067402e-05 ||r(i)||/||b|| 2.024463919147e-05
 44 KSP unpreconditioned resid norm 5.401948857734e-05 true resid norm 5.401947556047e-05 ||r(i)||/||b|| 2.038383127673e-05
 45 KSP unpreconditioned resid norm 5.423479478260e-05 true resid norm 5.423478551405e-05 ||r(i)||/||b|| 2.046507682235e-05
 46 KSP unpreconditioned resid norm 5.413802191565e-05 true resid norm 5.413801700445e-05 ||r(i)||/||b|| 2.042856197373e-05
 47 KSP unpreconditioned resid norm 5.393347730573e-05 true resid norm 5.393347881221e-05 ||r(i)||/||b|| 2.035138106893e-05
 48 KSP unpreconditioned resid norm 5.368505385600e-05 true resid norm 5.368506180748e-05 ||r(i)||/||b|| 2.025764283364e-05
 49 KSP unpreconditioned resid norm 5.341135705139e-05 true resid norm 5.341136371721e-05 ||r(i)||/||b|| 2.015436497625e-05
 50 KSP unpreconditioned resid norm 5.312295215167e-05 true resid norm 5.312296362597e-05 ||r(i)||/||b|| 2.004553943252e-05
 51 KSP unpreconditioned resid norm 5.282764345974e-05 true resid norm 5.282763139196e-05 ||r(i)||/||b|| 1.993409809833e-05
 52 KSP unpreconditioned resid norm 5.253283909042e-05 true resid norm 5.253284996527e-05 ||r(i)||/||b|| 1.982286460703e-05
 53 KSP unpreconditioned resid norm 5.224385282126e-05 true resid norm 5.224386177155e-05 ||r(i)||/||b|| 1.971381714737e-05
 54 KSP unpreconditioned resid norm 5.196431766568e-05 true resid norm 5.196432017889e-05 ||r(i)||/||b|| 1.960833428956e-05
 55 KSP unpreconditioned resid norm 5.169823785521e-05 true resid norm 5.169825807090e-05 ||r(i)||/||b|| 1.950793781103e-05
 56 KSP unpreconditioned resid norm 5.144642811980e-05 true resid norm 5.144643939632e-05 ||r(i)||/||b|| 1.941291598192e-05
 57 KSP unpreconditioned resid norm 5.121092100586e-05 true resid norm 5.121092586610e-05 ||r(i)||/||b|| 1.932404677293e-05
 58 KSP unpreconditioned resid norm 5.099165437240e-05 true resid norm 5.099166931771e-05 ||r(i)||/||b|| 1.924131201029e-05
 59 KSP unpreconditioned resid norm 5.078917790729e-05 true resid norm 5.078919827051e-05 ||r(i)||/||b|| 1.916491112668e-05
 60 KSP unpreconditioned resid norm 5.060264842219e-05 true resid norm 5.060267810356e-05 ||r(i)||/||b|| 1.909452918437e-05
 61 KSP unpreconditioned resid norm 5.043223949431e-05 true resid norm 5.043225694669e-05 ||r(i)||/||b|| 1.903022207898e-05
 62 KSP unpreconditioned resid norm 4.736549493105e-05 true resid norm 4.736552880121e-05 ||r(i)||/||b|| 1.787301593360e-05
 63 KSP unpreconditioned resid norm 2.875416297626e-05 true resid norm 2.875418826187e-05 ||r(i)||/||b|| 1.085017053476e-05
 64 KSP unpreconditioned resid norm 2.926002770946e-05 true resid norm 2.926005092151e-05 ||r(i)||/||b|| 1.104105389666e-05
 65 KSP unpreconditioned resid norm 3.343988352878e-05 true resid norm 3.343990420175e-05 ||r(i)||/||b|| 1.261828920193e-05
 66 KSP unpreconditioned resid norm 3.499227236516e-05 true resid norm 3.499228028608e-05 ||r(i)||/||b|| 1.320406631014e-05
 67 KSP unpreconditioned resid norm 3.416966340536e-05 true resid norm 3.416968090138e-05 ||r(i)||/||b|| 1.289366479491e-05
 68 KSP unpreconditioned resid norm 3.910405858918e-05 true resid norm 3.910405670942e-05 ||r(i)||/||b|| 1.475561334001e-05
 69 KSP unpreconditioned resid norm 4.525634054631e-05 true resid norm 4.525635089331e-05 ||r(i)||/||b|| 1.707713396397e-05
 70 KSP unpreconditioned resid norm 3.253950735815e-05 true resid norm 3.253950248892e-05 ||r(i)||/||b|| 1.227852957995e-05
 71 KSP unpreconditioned resid norm 3.234896479765e-05 true resid norm 3.234898097850e-05 ||r(i)||/||b|| 1.220663776163e-05
 72 KSP unpreconditioned resid norm 3.564119736632e-05 true resid norm 3.564119441894e-05 ||r(i)||/||b|| 1.344892903900e-05
 73 KSP unpreconditioned resid norm 3.571472669896e-05 true resid norm 3.571472918922e-05 ||r(i)||/||b|| 1.347667681580e-05
 74 KSP unpreconditioned resid norm 3.353753077254e-05 true resid norm 3.353754065358e-05 ||r(i)||/||b|| 1.265513156183e-05
 75 KSP unpreconditioned resid norm 3.303631377565e-05 true resid norm 3.303631076745e-05 ||r(i)||/||b|| 1.246599634118e-05
 76 KSP unpreconditioned resid norm 3.293111725657e-05 true resid norm 3.293111337266e-05 ||r(i)||/||b|| 1.242630091793e-05
 77 KSP unpreconditioned resid norm 3.300690329003e-05 true resid norm 3.300689653240e-05 ||r(i)||/||b|| 1.245489710710e-05
 78 KSP unpreconditioned resid norm 3.311892954582e-05 true resid norm 3.311892858097e-05 ||r(i)||/||b|| 1.249717153409e-05
 79 KSP unpreconditioned resid norm 3.321810931639e-05 true resid norm 3.321811967674e-05 ||r(i)||/||b|| 1.253460052686e-05
 80 KSP unpreconditioned resid norm 3.329998720136e-05 true resid norm 3.329997876766e-05 ||r(i)||/||b|| 1.256548942166e-05
 81 KSP unpreconditioned resid norm 3.337168761196e-05 true resid norm 3.337169136465e-05 ||r(i)||/||b|| 1.259254961545e-05
 82 KSP unpreconditioned resid norm 3.343784190007e-05 true resid norm 3.343783892112e-05 ||r(i)||/||b|| 1.261750988426e-05
 83 KSP unpreconditioned resid norm 3.349930945415e-05 true resid norm 3.349930706044e-05 ||r(i)||/||b|| 1.264070441119e-05
 84 KSP unpreconditioned resid norm 3.355617404664e-05 true resid norm 3.355617329805e-05 ||r(i)||/||b|| 1.266216244611e-05
 85 KSP unpreconditioned resid norm 3.361003125547e-05 true resid norm 3.361002802786e-05 ||r(i)||/||b|| 1.268248411185e-05
 86 KSP unpreconditioned resid norm 3.366117875736e-05 true resid norm 3.366117451391e-05 ||r(i)||/||b|| 1.270178384275e-05
 87 KSP unpreconditioned resid norm 3.370972600747e-05 true resid norm 3.370971919214e-05 ||r(i)||/||b|| 1.272010180161e-05
 88 KSP unpreconditioned resid norm 3.375629492743e-05 true resid norm 3.375628967889e-05 ||r(i)||/||b|| 1.273767481457e-05
 89 KSP unpreconditioned resid norm 3.380100271731e-05 true resid norm 3.380101814963e-05 ||r(i)||/||b|| 1.275455275704e-05
 90 KSP unpreconditioned resid norm 3.384429966522e-05 true resid norm 3.384430413357e-05 ||r(i)||/||b|| 1.277088638828e-05
 91 KSP unpreconditioned resid norm 3.388591039228e-05 true resid norm 3.388590663809e-05 ||r(i)||/||b|| 1.278658477157e-05
 92 KSP unpreconditioned resid norm 3.312814581934e-05 true resid norm 3.312815420734e-05 ||r(i)||/||b|| 1.250065275284e-05
 93 KSP unpreconditioned resid norm 2.249645436557e-05 true resid norm 2.249645125909e-05 ||r(i)||/||b|| 8.488861878658e-06
 94 KSP unpreconditioned resid norm 1.772625477993e-05 true resid norm 1.772623441940e-05 ||r(i)||/||b|| 6.688857450538e-06
 95 KSP unpreconditioned resid norm 1.758748208286e-05 true resid norm 1.758749092649e-05 ||r(i)||/||b|| 6.636503666631e-06
 96 KSP unpreconditioned resid norm 1.369724691974e-05 true resid norm 1.369722228242e-05 ||r(i)||/||b|| 5.168540883966e-06
 97 KSP unpreconditioned resid norm 1.345502960955e-05 true resid norm 1.345501989038e-05 ||r(i)||/||b|| 5.077147684699e-06
