Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0444162 (s)
  0 KSP unpreconditioned resid norm 1.385199406759e+00 true resid norm 1.385199406759e+00 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 6.298725705342e+01 true resid norm 6.298725705343e+01 ||r(i)||/||b|| 4.547161711599e+01
  2 KSP unpreconditioned resid norm 3.926085276013e+01 true resid norm 3.926085276013e+01 ||r(i)||/||b|| 2.834310538148e+01
  3 KSP unpreconditioned resid norm 2.311478344935e+01 true resid norm 2.311478344934e+01 ||r(i)||/||b|| 1.668697180822e+01
  4 KSP unpreconditioned resid norm 1.198407321756e+01 true resid norm 1.198407321756e+01 ||r(i)||/||b|| 8.651514835401e+00
  5 KSP unpreconditioned resid norm 4.261819384708e+00 true resid norm 4.261819384708e+00 ||r(i)||/||b|| 3.076682941036e+00
  6 KSP unpreconditioned resid norm 3.238240177543e+00 true resid norm 3.238240177542e+00 ||r(i)||/||b|| 2.337742971692e+00
  7 KSP unpreconditioned resid norm 2.253118966150e+00 true resid norm 2.253118966144e+00 ||r(i)||/||b|| 1.626566511038e+00
  8 KSP unpreconditioned resid norm 1.352760544992e+00 true resid norm 1.352760544990e+00 ||r(i)||/||b|| 9.765818108132e-01
  9 KSP unpreconditioned resid norm 9.871027238376e-01 true resid norm 9.871027238435e-01 ||r(i)||/||b|| 7.126069496039e-01
 10 KSP unpreconditioned resid norm 7.592854591737e-01 true resid norm 7.592854591735e-01 ||r(i)||/||b|| 5.481416289010e-01
 11 KSP unpreconditioned resid norm 5.272054981738e-01 true resid norm 5.272054981851e-01 ||r(i)||/||b|| 3.805989921831e-01
 12 KSP unpreconditioned resid norm 4.679548695009e-01 true resid norm 4.679548695089e-01 ||r(i)||/||b|| 3.378249133126e-01
 13 KSP unpreconditioned resid norm 3.377292505080e-01 true resid norm 3.377292505115e-01 ||r(i)||/||b|| 2.438127311227e-01
 14 KSP unpreconditioned resid norm 2.332323876694e-01 true resid norm 2.332323876687e-01 ||r(i)||/||b|| 1.683745939615e-01
 15 KSP unpreconditioned resid norm 1.879796454182e-01 true resid norm 1.879796454210e-01 ||r(i)||/||b|| 1.357058373717e-01
 16 KSP unpreconditioned resid norm 2.207489365634e-01 true resid norm 2.207489365609e-01 ||r(i)||/||b|| 1.593625693773e-01
 17 KSP unpreconditioned resid norm 1.673409460406e-01 true resid norm 1.673409460520e-01 ||r(i)||/||b|| 1.208063945418e-01
 18 KSP unpreconditioned resid norm 1.143839674762e-01 true resid norm 1.143839674799e-01 ||r(i)||/||b|| 8.257581321633e-02
