Config file: ../input/config/mla_v_cycle-refine0.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 1506, matrix Column = 1506
matrix nz_allocated = 27747, matrix nz_used = 27747, matrix nz_unneeded = 0
vector Row = 1506
initial     || b ||_2 = 2.6501139470351753e+00
>>>>local_vec_size = 1506
>>>>~~~~ local_mat_m = 1506, local_mat_n = 1506
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 0 is 62, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0105848 (s)
  0 KSP unpreconditioned resid norm 2.650113947035e+00 true resid norm 2.650113947035e+00 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 5.404519429128e+01 true resid norm 5.404519429128e+01 ||r(i)||/||b|| 2.039353604087e+01
  2 KSP unpreconditioned resid norm 3.396677236139e+01 true resid norm 3.396677236139e+01 ||r(i)||/||b|| 1.281709882679e+01
  3 KSP unpreconditioned resid norm 1.709754455587e+01 true resid norm 1.709754455587e+01 ||r(i)||/||b|| 6.451626193280e+00
  4 KSP unpreconditioned resid norm 5.703644469841e+00 true resid norm 5.703644469843e+00 ||r(i)||/||b|| 2.152226124550e+00
  5 KSP unpreconditioned resid norm 2.769638699605e+00 true resid norm 2.769638699602e+00 ||r(i)||/||b|| 1.045101740889e+00
  6 KSP unpreconditioned resid norm 1.298016351420e+00 true resid norm 1.298016351421e+00 ||r(i)||/||b|| 4.897964304039e-01
  7 KSP unpreconditioned resid norm 8.985690745570e-01 true resid norm 8.985690745467e-01 ||r(i)||/||b|| 3.390680900917e-01
  8 KSP unpreconditioned resid norm 5.052699160691e-01 true resid norm 5.052699160701e-01 ||r(i)||/||b|| 1.906596947031e-01
  9 KSP unpreconditioned resid norm 3.182317305910e-01 true resid norm 3.182317306136e-01 ||r(i)||/||b|| 1.200822821108e-01
 10 KSP unpreconditioned resid norm 2.296194788153e-01 true resid norm 2.296194788227e-01 ||r(i)||/||b|| 8.664513428928e-02
 11 KSP unpreconditioned resid norm 1.211603519680e-01 true resid norm 1.211603519557e-01 ||r(i)||/||b|| 4.571892166797e-02
 12 KSP unpreconditioned resid norm 8.377144474708e-02 true resid norm 8.377144473859e-02 ||r(i)||/||b|| 3.161050672267e-02
 13 KSP unpreconditioned resid norm 5.817603908461e-02 true resid norm 5.817603907660e-02 ||r(i)||/||b|| 2.195227836965e-02
 14 KSP unpreconditioned resid norm 4.220739235522e-02 true resid norm 4.220739234576e-02 ||r(i)||/||b|| 1.592663303892e-02
 15 KSP unpreconditioned resid norm 3.844681759529e-02 true resid norm 3.844681757433e-02 ||r(i)||/||b|| 1.450760923595e-02
 16 KSP unpreconditioned resid norm 3.197188614013e-02 true resid norm 3.197188613948e-02 ||r(i)||/||b|| 1.206434394085e-02
 17 KSP unpreconditioned resid norm 2.062489455511e-02 true resid norm 2.062489456207e-02 ||r(i)||/||b|| 7.782644435025e-03
 18 KSP unpreconditioned resid norm 2.135791715570e-02 true resid norm 2.135791714922e-02 ||r(i)||/||b|| 8.059244838551e-03
